Gene,# Hairpins,NES,Gene rank,p-value,p-value rank
KLF2,6,0.0257,87,0.0025,95
PDE1C,6,0.02586,88,0.0025,98
CHMP4B,6,0.02611,89,0.0025,101
NECAB2,6,0.02618,90,0.0025,97
OR2L2,6,0.02628,91,0.0025,96
UBTF,6,0.02629,92,0.0025,94
hsa-mir-548ar,2,0.02634,93,0.0006,15
SMC1A,6,0.02659,94,0.0026,103
FAHD2B,6,0.02689,95,0.0028,104
TTL,6,0.02692,96,0.0028,106
ISG20L2,6,0.0271,97,0.0028,105
FAR1,6,0.02717,98,0.0029,116
C3orf36,6,0.02726,99,0.0029,108
hsa-mir-449b,4,0.02741,100,0.0021,73
USP54,6,0.02745,101,0.0029,113
FRY,6,0.0275,102,0.0029,110
NonTargetingControlGuideForHuman_0390,2,0.02768,103,0.0006,14
TYW5,6,0.02786,104,0.0029,109
SLC10A5,6,0.02807,105,0.0029,107
WDR93,6,0.02828,106,0.0029,112
IGSF22,6,0.02837,107,0.0029,111
NKTR,6,0.02846,108,0.003,117
hsa-mir-6794,4,0.02847,109,0.0022,80
hsa-mir-4726,4,0.02851,110,0.0022,75
RNF4,6,0.0287,111,0.003,118
ABHD3,6,0.02894,112,0.0031,119
SNX14,6,0.02917,113,0.0031,122
PSMD3,6,0.02948,114,0.0031,121
GMFB,5,0.02955,115,0.0024,88
IQGAP3,6,0.02966,116,0.0031,123
UBL5,6,0.0301,117,0.0032,124
GNB3,6,0.03031,118,0.0032,127
MTRR,6,0.03055,119,0.0032,126
PRKCDBP,6,0.03091,120,0.0033,129
DDX60L,6,0.03121,121,0.0035,131
GTF2E2,6,0.03142,122,0.0036,132
hsa-mir-4483,4,0.03176,123,0.0025,92
SLC25A30,6,0.03199,124,0.0036,133
hsa-mir-4256,4,0.03253,125,0.0026,102
MAT2B,6,0.03316,126,0.0038,134
SMARCA5,6,0.03372,127,0.0041,137
FASTKD3,6,0.03384,128,0.0041,140
RBM39,6,0.03402,129,0.0041,136
FAM229A,6,0.03406,130,0.0041,135
ATG12,6,0.03423,131,0.0041,138
GLG1,6,0.03439,132,0.0042,145
INIP,6,0.03449,133,0.0042,144
USP17L8,6,0.03457,134,0.0042,147
FRRS1,6,0.03476,135,0.0042,146
LEPROT,6,0.03476,136,0.0042,142
SKA1,6,0.03497,137,0.0042,143
TREML4,6,0.03513,138,0.0042,141
ITPKC,6,0.03517,139,0.0043,149
ANKRD46,6,0.03519,140,0.0043,151
C1orf159,6,0.03547,141,0.0043,148
FIGLA,6,0.03567,142,0.0043,150
STEAP2,6,0.03568,143,0.0043,152
NonTargetingControlGuideForHuman_0478,2,0.03568,144,0.0008,21
SEC16B,6,0.03587,145,0.0044,161
MIB1,6,0.03602,146,0.0044,156
FAM127B,6,0.03617,147,0.0044,157
HSPE1,6,0.03619,148,0.0044,154
COMT,6,0.03623,149,0.0044,158
hsa-mir-3135a,4,0.03628,150,0.0032,125
RBBP8,6,0.03696,151,0.0044,153
ZFAND2B,6,0.03725,152,0.0044,155
DSN1,6,0.03728,153,0.0044,159
hsa-mir-5571,4,0.03737,154,0.0033,128
MUSTN1,6,0.03756,155,0.0044,164
PRRG1,6,0.03759,156,0.0044,162
TBC1D30,6,0.03762,157,0.0044,163
BCL7C,6,0.03765,158,0.0044,160
LMF1,6,0.03797,159,0.0045,166
TPK1,6,0.03799,160,0.0045,167
NAPA,6,0.03826,161,0.0047,171
CBLL1,6,0.03864,162,0.0047,169
OR5K1,6,0.03874,163,0.0047,170
SPC24,6,0.03877,164,0.0047,173
SLC35E1,6,0.03888,165,0.0047,168
hsa-mir-1297,3,0.0391,166,0.0031,120
LDLRAD3,6,0.03915,167,0.0049,177
SPECC1L,6,0.03916,168,0.0049,175
C10orf68,6,0.03931,169,0.0049,176
PTH2,6,0.03973,170,0.005,180
EPB41L3,6,0.03974,171,0.005,183
EML4,6,0.03977,172,0.005,178
MTHFD2,6,0.03985,173,0.005,179
ACTR10,6,0.03986,174,0.005,184
SPATA8,6,0.03986,175,0.005,185
ZNF398,6,0.03986,176,0.005,186
MYOZ1,6,0.03993,177,0.005,182
KBTBD3,6,0.03995,178,0.005,181
2019-09-12 00:00:00,6,0.04022,179,0.0051,187
NCAPG,6,0.04049,180,0.0058,191
RNF125,6,0.04055,181,0.0058,190
DDX39A,6,0.04076,182,0.0059,192
TRIM58,6,0.04094,183,0.006,193
POLR2K,6,0.04131,184,0.0062,194
BAHCC1,6,0.04174,185,0.0063,195
CEP135,6,0.04175,186,0.0064,196
EMD,6,0.04202,187,0.0066,200
H2AFZ,6,0.04212,188,0.0066,201
DYNC2LI1,6,0.04225,189,0.0067,202
BMP10,6,0.0423,190,0.0067,203
KLF12,6,0.04241,191,0.0068,204
KANSL3,6,0.04251,192,0.0069,205
ASIC2,6,0.04259,193,0.0069,206
KRT16,6,0.04295,194,0.0069,207
hsa-mir-1302-1,4,0.04301,195,0.0045,165
HCFC1,6,0.04326,196,0.0071,208
TPT1,6,0.04334,197,0.0071,209
hsa-mir-6090,4,0.04341,198,0.0047,172
PCCA,6,0.04352,199,0.0074,216
ADAM22,6,0.0438,200,0.0074,210
C16orf97,6,0.04381,201,0.0074,217
KIAA0141,6,0.04392,202,0.0074,218
SKP1,6,0.04398,203,0.0074,215
HIST1H1C,6,0.04414,204,0.0074,211
DNAJC16,6,0.04426,205,0.0074,214
SETX,6,0.04429,206,0.0074,212
TAS2R30,6,0.04437,207,0.0074,213
RCN2,6,0.04463,208,0.0076,221
DNAI2,6,0.04468,209,0.0076,220
SLC15A2,6,0.04469,210,0.0077,222
NonTargetingControlGuideForHuman_0921,2,0.04479,211,0.0018,58
CKMT1A,6,0.04534,212,0.0082,224
CARS,6,0.04539,213,0.0082,225
VAMP4,6,0.04563,214,0.0083,226
ZBTB43,6,0.04577,215,0.0083,229
TAF13,6,0.04587,216,0.0083,228
KRTAP4-1,6,0.04589,217,0.0083,227
SSU72,6,0.04616,218,0.0084,230
MSI2,6,0.04617,219,0.0084,232
UBXN4,6,0.04641,220,0.0084,231
DEPTOR,6,0.0465,221,0.0085,235
LYSMD4,6,0.04664,222,0.0086,239
CCDC88A,6,0.04668,223,0.0086,236
ZNF106,6,0.04673,224,0.0086,241
TEX30,6,0.04691,225,0.0086,240
SGCD,6,0.04701,226,0.0086,238
C11orf88,6,0.04713,227,0.0086,237
COX8C,6,0.04725,228,0.0087,243
DTWD1,6,0.04729,229,0.0087,242
POMP,6,0.04759,230,0.0088,244
UBQLNL,6,0.04788,231,0.0089,245
CPD,6,0.0482,232,0.0094,248
PPWD1,6,0.04834,233,0.0094,247
GPR116,6,0.04834,234,0.0094,249
SNRNP25,6,0.04834,235,0.0094,251
UTP14A,6,0.0484,236,0.0094,250
BUD13,6,0.04901,237,0.0095,254
PCNA,6,0.04913,238,0.0095,256
WDR63,6,0.04919,239,0.0095,253
hsa-mir-548e,4,0.04921,240,0.0064,199
KCTD20,6,0.0493,241,0.0095,255
APPL2,6,0.0493,242,0.0095,252
VEGFA,6,0.04958,243,0.0096,260
C9orf92,6,0.04968,244,0.0096,262
NEIL3,6,0.04975,245,0.0096,257
CASP8AP2,6,0.04988,246,0.0096,261
TTBK1,6,0.05,247,0.0097,264
CYSTM1,6,0.05005,248,0.0097,263
APBB1IP,6,0.05023,249,0.0099,265
DDX18,6,0.05026,250,0.01,267
ABCD3,6,0.05044,251,0.0103,271
POLR1B,6,0.05045,252,0.0103,269
AMICA1,6,0.05047,253,0.0103,270
GSTM4,6,0.05061,254,0.0103,268
MBOAT4,6,0.05064,255,0.0104,272
EFNB1,6,0.0509,256,0.0105,276
TNFSF14,6,0.05096,257,0.0105,274
NPBWR1,6,0.05115,258,0.0105,273
FGF17,6,0.05123,259,0.0105,275
TMEM64,6,0.05138,260,0.0106,277
SNRPF,6,0.05167,261,0.0109,278
EIF3B,6,0.05181,262,0.011,279
TMEM134,6,0.05197,263,0.011,280
FAM185A,6,0.05222,264,0.0112,281
ITGA5,6,0.05232,265,0.0112,283
PRPF18,6,0.05242,266,0.0112,282
TMEM199,6,0.05269,267,0.0113,285
TANK,6,0.05272,268,0.0113,284
TOMM7,6,0.05273,269,0.0113,286
FN1,6,0.05288,270,0.0115,287
WDSUB1,6,0.053,271,0.0115,289
PYROXD1,6,0.05328,272,0.0116,292
ZNF169,6,0.05329,273,0.0116,295
C6orf99,6,0.05349,274,0.0116,290
PDCL3,6,0.05362,275,0.0116,294
MICU3,6,0.0537,276,0.0116,293
STRBP,6,0.05371,277,0.0116,291
FBXO25,6,0.05392,278,0.0118,296
CHIC1,6,0.05418,279,0.0119,297
TRMT13,3,0.05439,280,0.0048,174
NonTargetingControlGuideForHuman_0876,2,0.05458,281,0.0029,114
SUDS3,6,0.05462,282,0.0121,302
SSTR2,6,0.05463,283,0.0121,300
CLCF1,6,0.0547,284,0.0121,301
NLE1,6,0.0547,285,0.0121,299
TNNI3K,6,0.05474,286,0.0121,303
METTL11B,6,0.05477,287,0.0121,298
ZNF207,6,0.05512,288,0.0122,306
NonTargetingControlGuideForHuman_0818,2,0.05518,289,0.0029,115
IPCEF1,5,0.05525,290,0.0085,234
RAN,6,0.05537,291,0.0122,304
hsa-mir-4496,4,0.05537,292,0.0079,223
FBXO3,6,0.05568,293,0.0124,310
CLCA4,6,0.05584,294,0.0124,309
hsa-mir-6076,4,0.05602,295,0.0084,233
ECM1,6,0.05608,296,0.0124,311
OR4F15,6,0.05618,297,0.0124,307
C6orf136,6,0.05622,298,0.0124,308
DHFR,6,0.0563,299,0.0126,313
PIWIL2,6,0.05659,300,0.0127,316
KDM4B,6,0.05668,301,0.0127,319
LRR1,6,0.05669,302,0.0127,318
SMIM17,6,0.05685,303,0.0129,320
CAPN12,6,0.05694,304,0.0129,321
ACSS2,6,0.05707,305,0.0132,326
CCNI2,6,0.0571,306,0.0132,327
KCNA2,6,0.05729,307,0.0132,325
SWT1,5,0.05757,308,0.0091,246
NSF,6,0.05792,309,0.0134,330
OR4P4,6,0.05795,310,0.0134,331
C11orf1,6,0.05807,311,0.0134,329
PDDC1,6,0.05816,312,0.0135,333
KCNH4,6,0.05846,313,0.0136,334
LMO4,6,0.05884,314,0.0136,335
TBX18,6,0.05915,315,0.0137,336
ASPHD2,6,0.0593,316,0.0137,337
CETN2,6,0.05939,317,0.0138,338
ATF1,6,0.05943,318,0.0138,339
ACADM,6,0.05955,319,0.0138,340
TCTN1,6,0.05958,320,0.0139,342
OR8D4,6,0.0598,321,0.0139,341
RERE,6,0.06001,322,0.0141,344
LEPR,6,0.06004,323,0.0141,343
ARHGAP6,6,0.06016,324,0.0142,345
hsa-mir-181c,4,0.06025,325,0.0096,258
FAM188B,6,0.06038,326,0.0144,346
ZNF384,6,0.06041,327,0.0144,349
NPY,6,0.06068,328,0.0145,351
TPPP3,6,0.0609,329,0.0145,353
ZFP36L2,6,0.061,330,0.0145,354
MED13L,6,0.06102,331,0.0145,350
CCR5,6,0.0612,332,0.0146,357
RECQL,6,0.06124,333,0.0146,356
TCP1,6,0.06134,334,0.0146,355
GIPC2,6,0.06149,335,0.0147,360
NFXL1,6,0.06157,336,0.0148,363
HIP1,6,0.06163,337,0.0148,365
PDPR,6,0.06165,338,0.0148,366
FAM26F,6,0.06169,339,0.0148,361
THAP2,6,0.06174,340,0.0148,367
hsa-mir-320b-1,4,0.06186,341,0.0096,259
DEFB110,6,0.06187,342,0.0148,364
DDX21,6,0.06197,343,0.0148,368
ERC2,6,0.06202,344,0.0148,362
SHISA5,6,0.06211,345,0.0149,374
IFI30,6,0.06215,346,0.0149,370
KRT37,6,0.06218,347,0.0149,375
FCER1G,6,0.06221,348,0.0149,369
MIS18A,6,0.06231,349,0.0149,373
TSSK6,6,0.06231,350,0.015,377
JAK2,6,0.06251,351,0.015,376
PCDH7,6,0.06252,352,0.015,379
TAS2R38,6,0.06255,353,0.015,378
IL1RL2,6,0.06263,354,0.0151,381
CCDC68,6,0.06281,355,0.0151,380
ADAM33,6,0.06292,356,0.0152,382
SCFD2,6,0.06304,357,0.0153,385
MKS1,6,0.06307,358,0.0153,384
HARS2,6,0.0631,359,0.0153,386
CARD18,6,0.0631,360,0.0153,383
STS,6,0.06321,361,0.0154,388
SLC22A15,6,0.06333,362,0.0154,392
CDC25B,6,0.06341,363,0.0154,390
SLC44A1,6,0.06342,364,0.0154,387
SLC38A11,6,0.06406,365,0.0157,396
ASB14,6,0.0642,366,0.0158,399
BMPR2,6,0.06421,367,0.0158,400
OTUD7B,6,0.06427,368,0.0159,402
BSND,6,0.0646,369,0.016,405
UBTD1,6,0.06462,370,0.016,404
PYCR1,6,0.06487,371,0.016,406
SMARCE1,6,0.06489,372,0.016,403
INSIG1,6,0.06503,373,0.0161,409
C6orf211,6,0.0651,374,0.0162,411
MPHOSPH10,6,0.06513,375,0.0162,410
ANGPTL7,6,0.06533,376,0.0164,412
C19orf10,6,0.06558,377,0.0166,423
RAD51C,6,0.06569,378,0.0166,413
NAB2,6,0.06572,379,0.0166,424
NonTargetingControlGuideForHuman_0582,2,0.06573,380,0.0034,130
TRUB2,6,0.06581,381,0.0166,419
PSMA4,6,0.06587,382,0.0166,418
GJA10,6,0.06596,383,0.0166,416
UNC119,6,0.06597,384,0.0166,422
SSUH2,6,0.06604,385,0.0166,414
CPNE3,6,0.06624,386,0.0166,417
CRNKL1,6,0.06626,387,0.0166,415
DHX37,6,0.06635,388,0.0166,420
VCAM1,6,0.06636,389,0.0166,421
hsa-mir-6780a,4,0.06651,390,0.0115,288
VGLL3,6,0.06682,391,0.0168,425
CNRIP1,6,0.0669,392,0.0169,431
MUC6,6,0.06691,393,0.0169,430
GNAO1,6,0.06701,394,0.0169,433
PAXBP1,6,0.06705,395,0.0169,427
FERMT2,6,0.06708,396,0.0169,434
ATIC,6,0.06757,397,0.0169,432
TMPRSS15,6,0.06763,398,0.0169,428
RARS,6,0.06763,399,0.0169,429
LRSAM1,6,0.06765,400,0.0169,426
UTF1,6,0.06786,401,0.017,436
AMER3,6,0.06791,402,0.017,435
FMNL2,6,0.0681,403,0.0171,438
VAMP3,6,0.06812,404,0.0171,437
FAM217B,6,0.06836,405,0.0173,439
SSTR4,6,0.06863,406,0.0174,441
hsa-mir-1289-2,4,0.06869,407,0.0125,312
MAT2A,6,0.06912,408,0.0176,444
MRPS14,6,0.06923,409,0.0177,446
OR52K2,6,0.0693,410,0.0177,445
MTFMT,6,0.06948,411,0.0179,448
NR2C1,6,0.06962,412,0.018,449
MTRNR2L5,4,0.06978,413,0.0127,317
ASPRV1,6,0.07,414,0.018,450
COPE,6,0.07022,415,0.0184,453
hsa-mir-6129,4,0.07037,416,0.013,323
hsa-mir-6125,4,0.07041,417,0.013,322
CKLF,6,0.07051,418,0.0187,454
C9orf78,6,0.07061,419,0.0187,455
CTC1,6,0.07099,420,0.0188,456
KRTAP1-5,6,0.07106,421,0.0189,457
hsa-mir-6826,4,0.07108,422,0.0133,328
DYDC1,6,0.07132,423,0.019,462
ZNF354B,6,0.07138,424,0.019,461
HES7,6,0.07147,425,0.019,463
SNRPG,6,0.07149,426,0.019,464
RASA2,6,0.07158,427,0.019,466
hsa-mir-4486,4,0.07167,428,0.0135,332
KRTAP19-2,6,0.07167,429,0.019,465
MCM2,6,0.07167,430,0.019,458
ADSL,6,0.07167,431,0.019,459
DIMT1,6,0.07171,432,0.019,460
MED24,6,0.07194,433,0.0191,469
NHP2L1,6,0.07204,434,0.0191,468
STAR,6,0.07227,435,0.0191,470
CASKIN1,6,0.07238,436,0.0191,467
ITGA2B,6,0.07242,437,0.0192,471
PMFBP1,6,0.07262,438,0.0193,472
BAP1,6,0.07268,439,0.0193,473
STT3B,6,0.07271,440,0.0194,476
DHPS,6,0.07271,441,0.0194,474
OR5H14,6,0.07279,442,0.0194,475
ISL1,6,0.07293,443,0.0196,479
PHIP,6,0.07322,444,0.0196,481
DDX5,6,0.07325,445,0.0196,480
TMPRSS11D,6,0.07335,446,0.0196,478
BTF3L4,6,0.07343,447,0.0197,488
F8,6,0.07346,448,0.0197,483
FAM103A1,6,0.07353,449,0.0197,486
PSME4,6,0.0737,450,0.0197,485
NonTargetingControlGuideForHuman_0928,2,0.0737,451,0.0041,139
HNRNPK,6,0.07376,452,0.0197,489
hsa-mir-7107,4,0.07381,453,0.0144,347
MCM4,6,0.07381,454,0.0197,482
POLR2A,6,0.0739,455,0.0197,484
CATSPER2,6,0.07393,456,0.0197,487
PRAMEF4,6,0.07402,457,0.0198,492
SYCE1,6,0.07429,458,0.0198,490
EXOSC3,6,0.07431,459,0.0198,491
MRPL28,6,0.0744,460,0.0199,493
SMAD4,6,0.07445,461,0.02,495
PDE4B,6,0.07454,462,0.02,496
STK11,6,0.07454,463,0.02,497
hsa-mir-548f-2,4,0.07459,464,0.0149,371
CXXC1,6,0.07471,465,0.0201,500
WDR70,6,0.07501,466,0.0201,498
CEP250,6,0.0751,467,0.0201,499
CHORDC1,6,0.07518,468,0.0202,501
DERL2,6,0.07536,469,0.0202,502
POLA1,6,0.07547,470,0.0202,503
OR2L5,6,0.07566,471,0.0205,505
VN1R4,6,0.07574,472,0.0205,504
C14orf166B,6,0.07578,473,0.0206,510
ZNHIT1,6,0.0759,474,0.0206,509
LOC100129216,5,0.07597,475,0.0176,443
CHCHD1,6,0.07597,476,0.0206,508
REG4,6,0.07606,477,0.0206,511
SPOCK2,6,0.07609,478,0.0206,507
CPXM1,6,0.07612,479,0.0206,512
C2orf76,6,0.07625,480,0.0206,514
HMGB3,6,0.07627,481,0.0207,515
DGAT2L6,6,0.07628,482,0.0207,516
NAGPA,6,0.07633,483,0.0207,517
ABCB11,6,0.07635,484,0.0207,520
BPTF,6,0.07654,485,0.0208,522
CLEC12B,6,0.07671,486,0.0211,523
hsa-mir-381,4,0.07674,487,0.0156,394
CLHC1,6,0.07675,488,0.0211,527
ECD,6,0.07687,489,0.0211,524
ZNF90,6,0.07692,490,0.0211,526
PPP2R5A,6,0.07696,491,0.0211,525
MED19,6,0.0773,492,0.0214,530
BMP6,6,0.07747,493,0.0215,531
F2R,6,0.07757,494,0.0216,534
CYB5R3,6,0.07769,495,0.0216,535
NR1D1,6,0.0778,496,0.0218,538
PTPRT,6,0.0778,497,0.0218,539
TUBGCP3,6,0.07782,498,0.0218,541
EDDM3A,6,0.07782,499,0.0218,540
hsa-mir-376a-1,4,0.07786,500,0.0158,397
C19orf57,6,0.07788,501,0.0219,544
hsa-mir-4259,4,0.07789,502,0.0158,398
MED28,6,0.07791,503,0.0219,545
PDSS1,6,0.07808,504,0.0219,543
CTAGE9,6,0.07815,505,0.022,547
VDAC1,6,0.07817,506,0.022,546
PTPRZ1,6,0.07823,507,0.0221,550
VPREB3,6,0.07827,508,0.0221,556
TOR2A,6,0.07828,509,0.0221,554
hsa-mir-1303,4,0.07836,510,0.0161,408
ZMYND10,6,0.07837,511,0.0221,548
C3orf33,6,0.0784,512,0.0221,549
GCNT3,6,0.07845,513,0.0221,553
SSX5,6,0.07864,514,0.0221,558
HAPLN2,6,0.07867,515,0.0221,551
METTL14,6,0.07882,516,0.0221,555
ABCA5,6,0.07888,517,0.0221,557
DSG3,6,0.07892,518,0.0221,552
CNOT3,6,0.07917,519,0.0222,561
RBM41,6,0.07918,520,0.0222,560
SRCAP,6,0.07925,521,0.0222,562
CEP41,6,0.07928,522,0.0223,563
TSNARE1,6,0.07929,523,0.0223,567
CMPK1,6,0.0793,524,0.0223,565
SFR1,6,0.07931,525,0.0223,564
FYCO1,6,0.07937,526,0.0223,566
SBNO1,6,0.07943,527,0.0225,573
SSX3,6,0.07955,528,0.0225,575
METTL21D,6,0.07964,529,0.0225,569
CUEDC2,6,0.07965,530,0.0225,570
RNASEH2B,6,0.07968,531,0.0225,571
ZCCHC9,6,0.0797,532,0.0225,572
ARL14EP,6,0.07973,533,0.0225,568
COLEC12,6,0.08005,534,0.0226,578
EPB41L2,6,0.08005,535,0.0226,577
SPCS2,6,0.08007,536,0.0226,576
FAM131A,6,0.08017,537,0.0229,580
PDZRN3,6,0.08022,538,0.023,582
EIF4EBP2,6,0.08036,539,0.0231,583
CD2BP2,6,0.08042,540,0.0232,585
POLR2B,6,0.08043,541,0.0232,584
NonTargetingControlGuideForHuman_0212,2,0.08043,542,0.0054,188
FAM214A,6,0.08069,543,0.0234,588
CNGB3,6,0.08089,544,0.0234,587
SEC24A,6,0.08108,545,0.0237,590
VPS13C,6,0.08113,546,0.0238,592
PDGFB,6,0.08121,547,0.0239,593
SAMD4B,6,0.0813,548,0.024,594
MBL2,6,0.08144,549,0.0241,595
ZFAT,6,0.08155,550,0.0242,600
CASQ1,6,0.08166,551,0.0242,599
NonTargetingControlGuideForHuman_0778,2,0.08173,552,0.0055,189
STMN1,6,0.08178,553,0.0243,602
hsa-mir-548n,4,0.08182,554,0.0173,440
CXCR1,6,0.0819,555,0.0243,601
ZC3H3,6,0.08195,556,0.0244,603
RNF130,6,0.08197,557,0.0244,604
ERVFRD-1,6,0.08197,558,0.0244,605
PSD4,6,0.08199,559,0.0244,606
CGNL1,6,0.08204,560,0.0246,609
RSPH10B,6,0.08206,561,0.0246,608
ZNF569,6,0.08216,562,0.0246,611
GLI1,6,0.08223,563,0.0246,610
hsa-mir-6877,4,0.08231,564,0.0176,442
SLITRK2,6,0.08249,565,0.0247,612
GPR89B,6,0.08251,566,0.0247,614
WDR82,6,0.08257,567,0.0247,613
KIAA1524,6,0.08264,568,0.0248,617
IPO4,6,0.08282,569,0.0252,622
GK,6,0.08285,570,0.0252,619
FKBP1A,6,0.08286,571,0.0252,621
PDS5A,6,0.08306,572,0.0252,624
NNMT,6,0.08308,573,0.0252,620
C8orf4,6,0.08308,574,0.0252,623
hsa-mir-6841,4,0.08308,575,0.0179,447
BTN2A1,6,0.08334,576,0.0253,627
HAPLN4,6,0.08336,577,0.0253,626
HTR6,6,0.08347,578,0.0253,625
RAF1,6,0.08349,579,0.0253,628
IFT88,6,0.08376,580,0.0256,630
CHRNB1,6,0.08383,581,0.0257,631
RPA1,6,0.08405,582,0.0258,633
hsa-mir-6845,4,0.08406,583,0.0183,452
SEC61A1,6,0.08409,584,0.0258,632
C9orf91,6,0.08419,585,0.0259,636
MAML1,6,0.08423,586,0.0259,634
GLE1,6,0.08423,587,0.0259,635
DVL2,6,0.0844,588,0.0261,639
RHCE,6,0.08443,589,0.0261,640
SMC2,6,0.08448,590,0.0261,641
RND2,6,0.08467,591,0.0262,646
ANPEP,6,0.0847,592,0.0262,642
ANGPTL5,6,0.08473,593,0.0262,644
STARD7,6,0.08489,594,0.0262,643
HEY2,6,0.08498,595,0.0262,645
TBXA2R,6,0.08502,596,0.0264,648
RPS28,6,0.08514,597,0.0265,649
BAI1,6,0.08522,598,0.0265,650
GDNF,6,0.08544,599,0.0267,653
C1orf228,6,0.08545,600,0.0267,651
RNF187,6,0.08554,601,0.0267,652
WDR67,6,0.0856,602,0.0269,657
CHRAC1,6,0.08574,603,0.027,661
PPP1CB,6,0.08575,604,0.027,660
BAG3,6,0.08586,605,0.0271,663
CGA,6,0.08587,606,0.0271,662
CCDC77,6,0.08598,607,0.0272,664
USP30,6,0.08603,608,0.0272,665
GABRP,6,0.08607,609,0.0273,667
SLC25A32,6,0.08615,610,0.0273,668
AADACL4,6,0.08617,611,0.0273,669
DYRK1B,6,0.08625,612,0.0273,672
SLX4,6,0.08632,613,0.0273,671
TLR6,6,0.08638,614,0.0273,670
NSRP1,6,0.08643,615,0.0275,675
OLA1,6,0.08645,616,0.0275,673
ZNF559,6,0.08652,617,0.0275,679
SYAP1,6,0.08655,618,0.0275,674
SLC25A23,6,0.08658,619,0.0275,676
NADK2,6,0.08672,620,0.0275,677
NBPF1,6,0.08675,621,0.0275,678
SPATA31A7,6,0.08689,622,0.0276,680
SPATA31A5,6,0.08691,623,0.0276,681
KCTD9,6,0.08692,624,0.0277,682
ABI3,6,0.08725,625,0.0283,685
