id,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc
SVIP,0.0003713,0.0013747,0.721163,30,4,3.976
UBTF,0.00037614,0.0011105,0.721163,31,1,-0.38573
ZNF263,0.00038219,0.0014063,0.721163,32,4,5.8668
IZUMO1R,0.00038772,0.0014234,0.721163,33,4,5.5505
F13B,0.00039593,0.0014535,0.721163,34,2,3.3433
IL11RA,0.00040158,0.0014721,0.721163,35,3,6.2345
RHBDD3,0.00040426,0.001482,0.721163,36,4,6.3493
EFEMP2,0.00041077,0.0015094,0.721163,37,4,5.195
LOC100507462,0.00041573,0.0012214,0.721163,38,2,-0.57433
DCAF12L1,0.00043506,0.0015897,0.731345,39,4,3.942
SYTL5,0.00044871,0.0016457,0.731345,40,2,0.35951
PLEKHH3,0.00047692,0.001755,0.731345,41,3,4.9499
LOC388849,0.0004861,0.0014234,0.721163,42,2,7.8103
KRTAP15-1,0.00048702,0.0017918,0.731345,43,4,4.0323
HHIPL1,0.00048997,0.0018042,0.731345,44,4,4.2718
DCAF11,0.00051694,0.0019021,0.731345,45,4,3.7517
OR1L4,0.00052807,0.0019374,0.731345,46,4,4.3672
DPM1,0.00053603,0.0019648,0.731345,47,4,5.5308
MEGF9,0.00054456,0.0019876,0.731345,48,4,6.3712
WDR20,0.00056003,0.0020544,0.731345,49,4,5.2727
GANAB,0.00056271,0.0020648,0.731345,50,4,6.6803
HSD11B1,0.00057319,0.0021057,0.731345,51,4,5.5554
FBXL3,0.00060704,0.0022321,0.731345,52,2,0.94607
C1QL1,0.00063773,0.0023404,0.731345,53,2,4.0563
ZNF652,0.00064587,0.0023679,0.731345,54,4,5.6268
OXTR,0.00066229,0.0024326,0.731345,55,4,3.3801
SLC15A3,0.0006753,0.0024762,0.731345,56,4,5.7375
ERICH6B,0.00068368,0.0025114,0.731345,57,4,5.3508
LRRC70,0.00068592,0.0025197,0.731345,58,4,4.2033
STYXL1,0.00069198,0.002542,0.731345,59,4,5.4106
CEACAM8,0.00069808,0.0025647,0.731345,60,4,5.1012
PLEKHB2,0.0007029,0.0025813,0.731345,61,4,6.0128
DEF6,0.00070544,0.0025932,0.731345,62,3,4.3198
RBMXL3,0.00070605,0.0025948,0.731345,63,4,4.1062
GNAS,0.0007088,0.0026031,0.731345,64,4,6.0481
SLC1A5,0.00071053,0.0026093,0.731345,65,4,6.3565
KRTAP4-12,0.00071259,0.0026166,0.731345,66,3,1.2375
PDCD4,0.00073796,0.0027072,0.731345,67,4,4.766
STX11,0.0007498,0.0027424,0.731345,68,4,2.869
CHST1,0.00075275,0.0027549,0.731345,69,3,5.3042
ARID2,0.00077991,0.0028538,0.731345,70,4,3.792
ZNF12,0.00078411,0.0028673,0.731345,71,4,4.7313
CLCNKB,0.00078534,0.0028725,0.731345,72,4,4.7405
OR5AK2,0.0007996,0.0029253,0.731345,73,3,5.4624
MRPL21,0.00081812,0.0029932,0.731345,74,2,-0.66582
MXD3,0.00081958,0.0029999,0.731345,75,4,4.2875
UBE2J2,0.00087089,0.0031807,0.731345,76,1,-0.78786
SPAG9,0.00088657,0.0032377,0.731345,77,2,2.8597
NABP1,0.00088785,0.0032429,0.731345,78,4,4.2904
DHRS7,0.00091952,0.0033574,0.731345,79,3,6.6288
PPP1R3E,0.00092365,0.0033802,0.731345,80,2,0.56957
OR2T8,0.00093166,0.0034056,0.731345,81,4,4.992
DNAH9,0.00094001,0.003431,0.731345,82,4,4.3332
APRT,0.00094741,0.0034564,0.731345,83,4,5.6982
ANKRD13C,0.00096347,0.0035082,0.731345,84,4,4.0788
EGR1,0.00097246,0.0035351,0.731345,85,4,2.8578
TSPY3,0.00097466,0.0035403,0.731345,86,4,5.2955
BTN3A2,0.00097641,0.0035475,0.731345,87,1,-0.43742
LOH12CR1,0.00097977,0.0035558,0.731345,88,2,3.2322
AKT3,0.00098375,0.0035698,0.731345,89,2,3.7374
SPRN,0.00098774,0.0035885,0.731345,90,3,4.124
GZMM,0.0010192,0.0036993,0.731345,91,4,2.8374
RNF5,0.0010228,0.0037066,0.731345,92,4,3.172
PEX19,0.0010292,0.0037304,0.731345,93,3,4.6536
GAGE1,0.0010692,0.0038776,0.731345,94,4,3.5445
PCDHGB3,0.0010726,0.0038921,0.731345,95,4,5.3527
ELMOD3,0.0010819,0.0039268,0.731345,96,2,1.1886
IRF5,0.0011239,0.0040796,0.731345,97,4,2.9066
EMC1,0.0011307,0.0032129,0.731345,98,2,7.4784
RAPGEF5,0.0011347,0.0041128,0.731345,99,4,1.6279
CSN2,0.001141,0.004134,0.731345,100,3,4.6617
PCSK4,0.0011417,0.0041371,0.731345,101,3,5.5131
AFF4,0.0011461,0.004148,0.731345,102,4,4.3329
HIPK4,0.0011603,0.0042055,0.731345,103,4,3.536
LBX1,0.0011753,0.0042615,0.731345,104,4,3.7982
JAM3,0.0011767,0.0042656,0.731345,105,4,2.7773
SLC2A2,0.0011952,0.0043257,0.731345,106,4,5.0759
MID1IP1,0.0012092,0.0043791,0.731345,107,4,4.7618
APOL4,0.0012175,0.0044096,0.731345,108,4,6.2805
RAVER1,0.0012375,0.004492,0.731345,109,4,4.3492
AKAP17A,0.0012389,0.0045013,0.731345,110,4,3.5963
HTR2A,0.0012402,0.0045049,0.731345,111,2,0.44763
INSM2,0.0012554,0.0045495,0.731345,112,4,3.4442
EBLN2,0.0012568,0.0045536,0.731345,113,4,3.3987
PLEKHN1,0.0012665,0.0045966,0.731345,114,3,5.2489
ATP12A,0.0012838,0.0046531,0.731345,115,4,3.0511
STRAP,0.0012845,0.0046567,0.731345,116,2,3.8422
FANCD2,0.0012929,0.0046832,0.731345,117,2,1.2394
ZNF514,0.0012989,0.004707,0.731345,118,4,3.5164
ST6GALNAC6,0.0013211,0.0047868,0.732712,119,3,3.6474
PTPRN2,0.0013225,0.004794,0.732712,120,4,3.3887
RNASE9,0.001326,0.0037558,0.731345,121,1,-0.32965
ZNF474,0.0013349,0.004835,0.732712,122,3,6.4037
FIG4,0.001351,0.0048888,0.732712,123,4,4.2873
JCHAIN,0.0013655,0.0049443,0.732712,124,4,4.0789
GJC3,0.0013659,0.0049458,0.732712,125,4,2.7377
IFT81,0.0013984,0.0050526,0.737095,126,4,3.0084
EFNA1,0.0014165,0.0051132,0.740287,127,4,3.9162
IL36RN,0.0014411,0.0052116,0.742171,128,2,3.7627
ZDHHC2,0.0014452,0.005223,0.742171,129,4,3.6173
MMS22L,0.0014512,0.0052427,0.742171,130,4,1.3099
SORCS1,0.0014796,0.0053468,0.747525,131,4,3.0133
KSR2,0.0014832,0.0053587,0.747525,132,4,3.7839
CCL19,0.0014882,0.0041894,0.731345,133,3,4.8897
MRPL11,0.0015039,0.0054442,0.747631,134,2,-0.45926
PMEPA1,0.0015056,0.0054473,0.747631,135,3,5.5687
ZNF419,0.0015129,0.0054769,0.747631,136,4,2.7104
COPS3,0.0015361,0.0043361,0.731345,137,2,7.7647
FCRLB,0.0015566,0.0056328,0.758785,138,1,-0.69501
FER1L6,0.001558,0.005638,0.758785,139,4,4.2422
ATXN7L1,0.0015863,0.0057359,0.766565,140,4,5.4679
TTI1,0.0016029,0.0045309,0.731345,141,3,0.96307
FAM180A,0.0016054,0.0058058,0.76719,142,3,5.5042
MASP2,0.0016094,0.0058209,0.76719,143,4,2.9515
FAH,0.0016345,0.0059115,0.772475,144,2,3.4214
FBXO3,0.0016654,0.0060188,0.772475,145,3,4.548
VEGFB,0.0016667,0.0060234,0.772475,146,4,4.378
ZXDB,0.0016785,0.0060597,0.772475,147,4,3.4956
DAB2,0.0016913,0.0061027,0.772475,148,4,4.7741
RSL1D1,0.0017148,0.0061892,0.772475,149,1,-2.8596
C1orf226,0.0017254,0.0062327,0.772475,150,4,3.1181
SLC6A3,0.001738,0.0062768,0.772475,151,3,5.0726
DOCK5,0.0017591,0.0063467,0.772475,152,4,5.0985
SLC35B4,0.0017714,0.0063954,0.772475,153,4,2.9749
CCDC101,0.0017815,0.0050339,0.737095,154,2,7.2897
URAD,0.0017888,0.0064654,0.772475,155,4,4.6249
TRIM65,0.001798,0.0064913,0.772475,156,3,4.853
C6orf58,0.0018203,0.0065612,0.772475,157,2,1.3302
OR2B11,0.0018207,0.0065622,0.772475,158,4,3.242
USP9Y,0.0018249,0.0065778,0.772475,159,4,2.7624
HPS3,0.0018376,0.0066229,0.772475,160,4,6.1613
POMC,0.0018573,0.0066995,0.772475,161,4,2.3009
RHEBL1,0.0019054,0.0068653,0.772475,162,3,5.6932
B4GALNT1,0.0019132,0.0068974,0.772475,163,4,3.7392
HIF1AN,0.0019248,0.0069394,0.772475,164,2,3.9232
CR1,0.0019257,0.0069435,0.772475,165,4,3.9205
OR4A16,0.001959,0.007058,0.772475,166,4,3.1776
RAB33A,0.0019629,0.0070715,0.772475,167,4,1.5106
HEATR5A,0.0019669,0.0070891,0.772475,168,4,4.4274
HBE1,0.0020081,0.0072368,0.772475,169,4,5.3949
KCNA7,0.0020285,0.0073083,0.772475,170,3,6.1402
LILRA1,0.0020312,0.007315,0.772475,171,3,4.3434
OR13A1,0.002036,0.00733,0.772475,172,3,4.8268
SNAI3,0.0020739,0.0074647,0.772475,173,3,5.4597
CXorf66,0.0020771,0.0074746,0.772475,174,4,3.6952
VPS13B,0.0020828,0.0074937,0.772475,175,4,5.3435
MAPKAPK3,0.0020839,0.0074994,0.772475,176,1,0.10318
HOXA3,0.0020936,0.0075398,0.772475,177,4,2.8726
MSRA,0.0021003,0.0075647,0.772475,178,4,3.9212
SRD5A1,0.0021128,0.0076077,0.772475,179,4,3.6669
DYDC2,0.0021204,0.0076378,0.772475,180,4,3.4819
NR5A1,0.0021452,0.0077248,0.772475,181,3,5.219
GFRA4,0.0021512,0.007746,0.772475,182,3,5.6262
OR4K2,0.0021572,0.0077652,0.772475,183,4,5.5816
RSPO3,0.0021818,0.007846,0.772475,184,2,3.2136
SULT1C2,0.0021893,0.0078693,0.772475,185,3,3.1285
UFSP1,0.0022307,0.0080224,0.772475,186,4,3.2047
TFG,0.002242,0.0080564,0.772475,187,2,3.0421
VSIG10,0.0022546,0.008102,0.772475,188,4,4.7111
CMAS,0.0022666,0.0081393,0.772475,189,4,3.657
LRRTM2,0.0022683,0.0081429,0.772475,190,4,3.6313
HNRNPAB,0.0022749,0.0081667,0.772475,191,4,2.1616
SNCB,0.0022893,0.0082123,0.772475,192,3,4.5672
TFAP2D,0.0022948,0.0082299,0.772475,193,4,3.5198
KRT35,0.002295,0.008232,0.772475,194,4,4.2435
PEG10,0.002302,0.0082636,0.772475,195,4,3.0804
BHLHA15,0.002307,0.0082843,0.772475,196,4,3.7423
SLC7A5,0.002317,0.008319,0.772475,197,4,2.675
TBX19,0.0023186,0.0083253,0.772475,198,4,2.6613
MTSS1,0.0023271,0.0083553,0.772475,199,4,5.063
C9orf3,0.0023475,0.0084289,0.772475,200,2,1.7081
KRT80,0.0023496,0.0084372,0.772475,201,2,3.5414
PTX4,0.0023557,0.0084543,0.772475,202,3,5.1595
KLHL13,0.0023894,0.0085884,0.772475,203,3,5.6334
RIMS2,0.0024002,0.0086175,0.772475,204,2,1.8488
AGRN,0.0024169,0.0086827,0.772475,205,3,5.2314
GRIA2,0.0024529,0.0087983,0.772475,206,2,1.3163
GPAA1,0.002456,0.0088151,0.772475,207,3,5.8209
NOG,0.0024566,0.00882,0.772475,208,4,2.5296
OR2J3,0.0024593,0.0088283,0.772475,209,3,4.6083
BLID,0.0024666,0.008848,0.772475,210,4,3.8402
MUC20,0.0024812,0.0088889,0.772475,211,4,3.919
CRYBB2,0.0024823,0.008892,0.772475,212,4,5.4546
GRAMD1A,0.0024888,0.0089128,0.772475,213,2,3.4104
IER5L,0.0024959,0.0089381,0.772475,214,4,4.0968
DOK1,0.0025045,0.0089646,0.772475,215,3,3.5344
KY,0.0025056,0.0089677,0.772475,216,3,2.9446
GNA13,0.0025172,0.0089993,0.772475,217,4,3.8894
SAMD8,0.0025361,0.0090697,0.772475,218,2,1.7367
TBC1D8,0.0025392,0.0090796,0.772475,219,4,2.9139
WNT16,0.00254,0.0090848,0.772475,220,4,4.672
KRBA1,0.0025434,0.0090946,0.772475,221,4,2.0726
SYNE4,0.002574,0.0091879,0.774,222,4,3.7053
ADAMTS18,0.0025758,0.0091936,0.774,223,4,3.1394
MYO9A,0.0025902,0.0092386,0.774383,224,3,3.9634
NOL3,0.002611,0.009308,0.776795,225,3,0.81593
ACSL6,0.0026282,0.0093666,0.778282,226,4,1.9816
HAT1,0.0026579,0.0094588,0.780962,227,3,5.2293
KRT6A,0.0026636,0.0094806,0.780962,228,2,0.16829
YIPF6,0.0027106,0.0096489,0.786286,229,4,4.2333
SAMHD1,0.0027156,0.0096666,0.786286,230,4,3.7507
GLB1L3,0.0027163,0.0096686,0.786286,231,4,3.8159
CCR2,0.0027333,0.0097261,0.787611,232,4,4.5989
TNFRSF11B,0.002758,0.0098147,0.791432,233,4,2.9119
LAMP2,0.002772,0.0098686,0.79223,234,4,2.9232
DCAF7,0.0027937,0.0099432,0.79223,235,4,2.4392
ZBTB22,0.0027982,0.0099619,0.79223,236,3,4.8651
NT5C3B,0.0028217,0.010054,0.79223,237,2,0.028764
KCNH6,0.0028324,0.01009,0.79223,238,4,2.9866
GCH1,0.0028389,0.010111,0.79223,239,4,4.6439
MAZ,0.00285,0.010153,0.79223,240,4,3.3721
EMD,0.0028556,0.010171,0.79223,241,4,3.6291
SP6,0.0028744,0.010237,0.79223,242,1,-0.76624
RNASE10,0.0028892,0.01029,0.79223,243,4,2.3391
TFPI2,0.0029123,0.010378,0.79223,244,4,3.9708
THAP6,0.002914,0.010385,0.79223,245,3,5.89
INSM1,0.0029213,0.010418,0.79223,246,4,5.2008
CARD14,0.0029271,0.010435,0.79223,247,4,5.6496
GAS2L2,0.0029483,0.010504,0.79223,248,3,5.5346
ASB2,0.0029791,0.010613,0.79223,249,4,4.8027
PIGG,0.0029798,0.010615,0.79223,250,2,0.11087
SH2D3A,0.0029912,0.010649,0.79223,251,3,3.3464
UBE4A,0.0030041,0.010697,0.79223,252,4,4.2176
TMEM191B,0.0030302,0.010792,0.79223,253,4,3.973
CHAC1,0.0030324,0.010797,0.79223,254,2,-0.76746
NANOS1,0.0030538,0.010871,0.79223,255,4,2.1134
KRT79,0.0030616,0.010892,0.79223,256,3,4.6072
RGPD3,0.0030811,0.010952,0.79223,257,3,2.8754
IFT52,0.0030851,0.010964,0.79223,258,3,1.3063
CPNE7,0.0031277,0.011119,0.79223,259,4,4.8183
RAB4A,0.0031328,0.01113,0.79223,260,3,5.0834
CAPS2,0.0031524,0.011194,0.79223,261,4,4.5023
CCDC177,0.0031905,0.011327,0.79223,262,1,0.11568
RPS6KL1,0.0031983,0.011357,0.79223,263,4,2.8489
CLLU1,0.0032146,0.011418,0.79223,264,2,2.3731
NEK1,0.0032147,0.011419,0.79223,265,4,5.0857
EXT1,0.0032431,0.011529,0.79223,266,3,2.1237
LMTK3,0.0032467,0.011539,0.79223,267,3,3.7248
OR2T6,0.0032605,0.011587,0.79223,268,4,2.4719
ZNF350,0.0032688,0.0090583,0.772475,269,3,3.5134
LCLAT1,0.0032783,0.011646,0.79223,270,3,5.3333
AKR1E2,0.0032901,0.011677,0.79223,271,3,4.6095
HS1BP3,0.0032958,0.011694,0.79223,272,2,-0.37429
RPH3A,0.0033149,0.011764,0.79223,273,4,3.1659
NOP10,0.0033365,0.011844,0.79223,274,2,3.2896
CCDC85B,0.0033427,0.011866,0.79223,275,4,4.3836
TNFRSF19,0.0033508,0.011892,0.79223,276,4,2.4935
MTSS1L,0.0033855,0.012017,0.79223,277,4,3.3466
CDH22,0.0034010999999999998,0.012068,0.79223,278,3,1.1647
BMP7,0.0034064,0.012084,0.79223,279,4,4.9915
VAV2,0.00341,0.012093,0.79223,280,4,2.8032
FAM83E,0.0034115,0.012098,0.79223,281,4,2.0001
DYRK1B,0.0034377,0.012194,0.79223,282,4,1.5813
ACYP1,0.003443,0.012212,0.79223,283,3,5.2622
GTF3C2,0.0034474,0.012231,0.79223,284,4,4.4933
KIAA0196,0.0034538,0.012254,0.79223,285,3,1.1442
ALPP,0.0034572,0.012264,0.79223,286,4,2.7888
LUZP1,0.0034605,0.012276,0.79223,287,2,3.1628
FOXM1,0.0034607,0.012277,0.79223,288,4,5.4387
PSG6,0.0035065,0.012437,0.79223,289,3,2.3948
GUCY1A2,0.0035331,0.012518,0.79223,290,4,3.7917
LCN15,0.0035502,0.012572,0.79223,291,3,4.2498
CACNA1I,0.0035591,0.012602,0.79223,292,4,1.3323
PSPH,0.0035761,0.012649,0.79223,293,4,1.4538
FAM73B,0.0035978,0.012726,0.79223,294,4,2.0246
AURKB,0.003598,0.012728,0.79223,295,3,4.5246
CSNK1E,0.003604,0.012758,0.79223,296,4,1.7741
PRKAR1A,0.0036118,0.01279,0.79223,297,4,4.7627
KIF5C,0.0036422,0.012904,0.79223,298,4,3.1391
VKORC1,0.0036644,0.012985,0.79223,299,3,1.3296
ADSSL1,0.0036681,0.012998,0.79223,300,4,2.3065
ANKRD61,0.0037045,0.013113,0.79223,301,4,3.061
SOCS3,0.003705,0.013116,0.79223,302,3,4.8754
LYPD5,0.0037108,0.013137,0.79223,303,4,2.6883
TNFSF12,0.0037171,0.01316,0.79223,304,4,3.2453
PELP1,0.003718,0.0071585,0.772475,305,2,7.4706
CARD11,0.003735,0.01322,0.79223,306,3,5.0063
PIAS2,0.0037419,0.013241,0.79223,307,3,4.0152
FAM120C,0.0037697,0.013331,0.79223,308,3,2.5558
FBXO15,0.0037892,0.013404,0.79223,309,4,2.0724
POC5,0.0037917,0.013413,0.79223,310,3,3.5267
CDV3,0.0038014,0.013446,0.79223,311,4,5.7091
ZNF330,0.0038187,0.013502,0.79223,312,2,3.3321
ADNP2,0.0038224,0.013516,0.79223,313,3,3.353
SEMA3B,0.0038329,0.013551,0.79223,314,4,2.1303
EIF4H,0.0038729,0.013695,0.79223,315,3,4.3196
ZIC2,0.003875,0.013704,0.79223,316,3,2.5098
PRPF38A,0.0038954,0.010756,0.79223,317,1,-1.9511
RPS6KA5,0.0039215,0.013842,0.79223,318,4,2.3806
ARSA,0.0039224,0.013844,0.79223,319,4,5.155
RSPH4A,0.0039277,0.013862,0.79223,320,1,-0.99283
MPPED2,0.0039431,0.01392,0.79223,321,3,3.899
TGIF2,0.0039514,0.013948,0.79223,322,4,4.1836
OR8G5,0.0039721,0.014014,0.79223,323,3,4.9883
C11orf1,0.0039764,0.014026,0.79223,324,4,3.583
DMC1,0.0039803,0.014041,0.79223,325,2,3.0322
FNBP1,0.004014,0.014159,0.79223,326,4,4.3779
CCDC124,0.0040176,0.014176,0.79223,327,4,2.0421
CLPS,0.004033,0.014225,0.79223,328,3,3.1145
NSUN2,0.004037,0.014238,0.79223,329,4,5.4651
GAL3ST3,0.0040377,0.014239,0.79223,330,2,3.0322
FARSA,0.0040482,0.0077709,0.772475,331,1,5.0865
KPRP,0.0040775,0.014372,0.79223,332,3,4.592
HAUS7,0.0040835,0.014398,0.79223,333,4,4.8348
TMCC1,0.0040856,0.014405,0.79223,334,2,1.106
FAM229A,0.0040894,0.014418,0.79223,335,3,3.5218
KDELR2,0.0041025,0.014463,0.79223,336,4,4.1381
CT45A6,0.0041136,0.014496,0.79223,337,4,2.8186
DAO,0.0041382,0.014591,0.79223,338,2,1.326
VPS35,0.0041523,0.014632,0.79223,339,3,6.0111
PNMAL2,0.0041618,0.014665,0.79223,340,4,2.3511
ZNF668,0.0041679,0.014681,0.79223,341,4,2.1009
ODF3,0.004174,0.014696,0.79223,342,4,1.879
SRSF5,0.0041777,0.014707,0.79223,343,3,5.1136
KLF14,0.0041877,0.014744,0.79223,344,3,4.5565
NYNRIN,0.0041909,0.014757,0.79223,345,3,1.2071
GABRP,0.0042047,0.014805,0.79223,346,4,5.8715
PHYHD1,0.0042202,0.014855,0.79223,347,3,4.9556
LCE2B,0.0042221,0.01486,0.79223,348,2,3.3247
CDC42EP5,0.0042358,0.014913,0.79223,349,4,4.4954
LAMB3,0.0042435,0.014935,0.79223,350,4,2.6992
ADTRP,0.0042451,0.014937,0.79223,351,4,4.8822
CMTR1,0.0042508,0.011719,0.79223,352,3,-0.38375
HPSE2,0.004264,0.015,0.79223,353,4,3.1351
NKD2,0.0042668,0.015006,0.79223,354,3,5.3364
FAM193A,0.0042936,0.015101,0.793262,355,3,4.3409
OR8A1,0.0042961,0.015109,0.793262,356,2,1.613
WASL,0.0043322,0.01522,0.796921,357,4,2.623
GTF3C3,0.0043488,0.015281,0.797936,358,2,-0.16767
LMOD2,0.0043662,0.015344,0.798622,359,3,4.5723
MNX1,0.0043806,0.01539,0.798622,360,4,3.0985
CD82,0.0043996,0.015456,0.798622,361,3,4.3889
TMED10,0.0044014,0.015462,0.798622,362,2,0.55365
CFAP46,0.0044493,0.015614,0.799904,363,4,2.9725
TRMU,0.0044878,0.015746,0.799904,364,3,5.0167
AURKAIP1,0.0044912,0.012408,0.79223,365,3,4.0512
KPNA6,0.0045005,0.015792,0.799904,366,4,4.4338
NMNAT3,0.0045066,0.015819,0.799904,367,3,1.3117
ZNF169,0.0045391,0.015932,0.799904,368,4,2.0891
CNPY1,0.00454,0.015934,0.799904,369,4,2.9359
EIF3F,0.0045634,0.012618,0.79223,370,2,7.0966
TREM1,0.0045858,0.016083,0.799904,371,3,4.5252
USP51,0.0046119,0.016169,0.799904,372,2,0.014928
INPP5K,0.0046425,0.016273,0.799904,373,4,2.6061
INAFM2,0.0046644,0.016347,0.799904,374,3,4.3567
MAPKAPK5,0.0046645,0.016347,0.799904,375,1,-0.56931
RETN,0.0046662,0.01635,0.799904,376,2,3.2118
BAIAP2L2,0.0046943,0.016449,0.799904,377,4,3.3423
ZNF576,0.0047171,0.016539,0.799904,378,1,-1.7657
PRSS12,0.004743,0.016634,0.799904,379,3,3.5506
FAM71F2,0.0047477,0.016642,0.799904,380,3,4.5295
PHF11,0.0047527,0.016665,0.799904,381,3,4.1807
ASB11,0.0047644,0.016701,0.799904,382,2,3.1322
FLT3,0.0047678,0.016713,0.799904,383,3,3.8898
ADAD1,0.0047697,0.016722,0.799904,384,3,1.3732
OTOR,0.004773,0.016736,0.799904,385,3,5.515
METTL22,0.0047773,0.016754,0.799904,386,4,2.7515
NR1I3,0.0047829,0.016773,0.799904,387,3,4.8245
ANHX,0.0048032,0.016842,0.799904,388,2,3.6832
C8orf33,0.0048223,0.016907,0.799904,389,2,2.7624
RFFL,0.0048409,0.016971,0.799904,390,4,3.2143
PPM1B,0.0048496,0.016999,0.799904,391,4,1.6375
LY6K,0.0048625,0.017042,0.799904,392,4,4.0002
COL26A1,0.0048637,0.017046,0.799904,393,3,4.0705
C2CD4C,0.00487,0.017068,0.799904,394,4,2.9304
HESX1,0.004871,0.01707,0.799904,395,4,4.1605
MFRP,0.0048749,0.017083,0.799904,396,3,1.7791
POU2F2,0.0049062,0.017187,0.799904,397,4,4.4481
NT5E,0.0049115,0.017207,0.799904,398,3,3.5894
APOBEC3D,0.0049275,0.017262,0.799904,399,2,-0.32009
AKT1,0.0049755,0.01741,0.799904,400,4,4.2083
CPN2,0.004977,0.017415,0.799904,401,3,3.6823
MORF4L1,0.004979,0.017425,0.799904,402,3,5.2648
UCN,0.0049801,0.017432,0.799904,403,4,2.5222
CADM2,0.0050327,0.017602,0.799904,404,2,-0.7162
ERGIC2,0.0050403,0.013891,0.79223,405,2,4.5941
SH3RF2,0.0050416,0.017636,0.799904,406,4,2.7364
MARCO,0.0050562,0.017691,0.799904,407,3,3.9444
CCL25,0.0050767,0.017759,0.799904,408,4,2.206
MYADM,0.0050853,0.017791,0.799904,409,3,3.2514
PPAPDC1B,0.0050938,0.017818,0.799904,410,4,2.29
FAM212A,0.005096,0.017827,0.799904,411,3,3.1579
RSRP1,0.0051301,0.017939,0.799904,412,4,2.4934
C2orf50,0.0051307,0.01794,0.799904,413,3,4.0973
ACTL6B,0.005136,0.017952,0.799904,414,3,2.8345
FAM159A,0.0051379,0.017958,0.799904,415,3,2.8899
RGPD4,0.0051538,0.018006,0.799904,416,2,2.4076
RAB11B,0.0051584,0.014216,0.79223,417,3,5.7505
DNAH1,0.0051717,0.018067,0.799904,418,3,3.7679
SFT2D1,0.0051717,0.018068,0.799904,419,4,3.9096
ANGPT1,0.0052121,0.018208,0.799904,420,3,4.2571
KIAA1033,0.0052139,0.018216,0.799904,421,3,5.4568
NASP,0.0052174,0.018224,0.799904,422,3,4.2261
KRTAP24-1,0.0052281,0.018256,0.799904,423,4,4.6271
UBE3C,0.00523,0.018264,0.799904,424,4,4.3938
GRB7,0.0052388,0.018295,0.799904,425,4,3.8156
GDPD2,0.0052431,0.018312,0.799904,426,2,0.22063
OR1J2,0.0052485,0.018328,0.799904,427,4,2.3443
DNAI1,0.0052495,0.018333,0.799904,428,4,4.5772
DISP1,0.0052531,0.018344,0.799904,429,3,4.7284
KRTAP19-2,0.0052537,0.018346,0.799904,430,4,2.0807
MTX1,0.0052746,0.018421,0.799904,431,3,6.0056
PCBP3,0.0052771,0.014531,0.79223,432,2,1.5434
GM2A,0.0052826,0.018455,0.799904,433,4,2.1637
ZNF570,0.0052957,0.018489,0.799904,434,2,-0.45589
FGD3,0.0053158,0.018555,0.799904,435,4,2.6525
PSMD11,0.0053166,0.01464,0.79223,436,2,0.89823
C19orf71,0.005323,0.01858,0.799904,437,4,2.3877
CRHR1,0.0053484,0.018666,0.799904,438,3,5.2935
ADH6,0.0053647,0.018721,0.799904,439,4,3.6315
GCG,0.0054119,0.018872,0.799904,440,4,5.0546
MID1,0.0054284,0.018931,0.799904,441,4,5.0399
KCNK18,0.0054393,0.018966,0.799904,442,3,4.9632
IFI27,0.0054543,0.01902,0.799904,443,4,1.7229
DACT1,0.0054612,0.019046,0.799904,444,2,2.8043
