id,negative selection score,negative selection p-value,negative selection rank
TRIM6,0.0044318,0.015314,221
COLCA2,0.0044638,0.015412,222
OR1L8,0.0045497,0.015677,223
HS6ST3,0.004551,0.01568,224
SNTB1,0.0045668,0.015735,225
APC2,0.0045705,0.015744,226
RHPN2,0.0045715,0.015749,227
SERPINA3,0.0046224,0.015915,228
MEF2C,0.0046238,0.015919,229
ZBTB4,0.0046403,0.015978,230
ADSSL1,0.0046718,0.016077,231
BRWD3,0.0046772,0.01609,232
C2orf76,0.0047305,0.016256,233
TNC,0.0047486,0.01631,234
TAS2R16,0.0047556,0.016334,235
LY96,0.0047563,0.016336,236
SGK223,0.0047839,0.016415,237
TRAP1,0.0048036,0.016472,238
CLK4,0.004804,0.016473,239
BIRC5,0.0048339,0.016577,240
NPBWR2,0.0048358,0.016582,241
RASGEF1C,0.0048372,0.016587,242
SCARA3,0.0048604,0.016665,243
MYD88,0.0048906,0.016752,244
HSPB7,0.0048923,0.016757,245
USP17L11,0.004904,0.016789,246
DHFR,0.0049439,0.016909,247
PAN2,0.0049502,0.016931,248
TRIM60,0.0049739,0.017007,249
CTU1,0.0049869,0.017048,250
COMMD9,0.0049972,0.01708,251
BTBD11,0.0050382,0.017204,252
LRRTM1,0.0050385,0.017205,253
HOXD13,0.0051039,0.017406,254
ADCY10,0.0051146,0.017435,255
ONECUT1,0.0051572,0.017579,256
CHAF1A,0.0051585,0.017583,257
APH1A,0.0051604,0.017589,258
NBL1,0.0051728,0.013506,259
C11orf31,0.0051769,0.017645,260
TEX13B,0.0051865,0.017681,261
SPAG11B,0.0051877,0.013534,262
WDR89,0.0052106,0.017768,263
GRN,0.0052332,0.01784,264
SETD1B,0.0052497,0.017899,265
CLEC4A,0.0052639,0.017949,266
CTSE,0.005282,0.01801,267
HRNR,0.0052838,0.018018,268
GPR157,0.0053172,0.018111,269
PSG2,0.0053705,0.018266,270
C11orf1,0.0054238,0.018432,271
PDE6H,0.0054607,0.018551,272
NADK,0.0054772,0.018602,273
INHBA,0.0055129,0.018712,274
IER5L,0.0055305,0.018772,275
SLX1A,0.005573,0.018897,276
OR5K2,0.0055838,0.018928,277
TPBGL,0.0056371,0.019099,278
EN2,0.005655,0.019162,279
RABL2A,0.0056671,0.019201,280
ZP2,0.0056856,0.019275,281
GCNT1,0.0056872,0.019279,282
TACR1,0.0056904,0.019291,283
LOC100505549,0.0056918,0.019293,284
OCLN,0.0057434,0.019459,285
RNF25,0.0057437,0.019459,286
BCAN,0.0057463,0.019466,287
LYPD4,0.0057856,0.019594,288
SERPINB8,0.005797,0.019628,289
FBXL18,0.0058283,0.01972,290
NBPF1,0.0058503,0.019791,291
SOD3,0.0058823,0.019899,292
ARSF,0.0058993,0.019957,293
C19orf71,0.0059036,0.01997,294
FTO,0.0059061,0.019978,295
PHF15,0.0059162,0.020015,296
IGF2R,0.0059185,0.020021,297
MTX3,0.0059355,0.020076,298
BICD2,0.005938,0.020088,299
AKAP12,0.0060102,0.020311,300
GPX7,0.0060274,0.020362,301
SCNN1D,0.0060352,0.02038,302
SCYL1,0.0060376,0.020387,303
FGD2,0.0060504,0.020432,304
IL2,0.0060635,0.020464,305
RECK,0.0060681,0.020479,306
SH3RF3,0.0060945,0.020563,307
TK1,0.0061038,0.020594,308
STC1,0.0061396,0.020724,309
MAPRE1,0.00617,0.020827,310
PLEKHA4,0.0061909,0.020899,311
EML5,0.0061961,0.020917,312
LHX5,0.0062233,0.021001,313
FGFBP2,0.0062457,0.021076,314
MAPK8,0.0062766,0.021158,315
RPL5,0.0063299,0.021329,316
PPIE,0.0063461,0.021381,317
ZNF394,0.0063721,0.02147,318
EXTL3,0.0063831,0.021512,319
STON1-GTF2A1L,0.0064293,0.017515,320
EFCAB11,0.0064364,0.021689,321
LCTL,0.006461,0.021767,322
TRIM56,0.0064897,0.021858,323
PRODH,0.0065294,0.02198,324
PTER,0.0065393,0.022014,325
ZNF407,0.006543,0.022027,326
EEF2K,0.0065641,0.022086,327
MEIOB,0.0065962,0.022185,328
SUV39H2,0.0066153,0.022239,329
TBCD,0.0066495,0.022343,330
KRTAP22-2,0.0066507,0.022345,331
OST4,0.0066547,0.019523,332
THBS4,0.0066565,0.022369,333
ZBTB5,0.0066805,0.022445,334
ATP13A4,0.0066937,0.022484,335
YBX3,0.006707,0.022525,336
PCDHB9,0.0067416,0.022638,337
CDV3,0.006756,0.022684,338
NOL12,0.0068093,0.022853,339
DNAJC15,0.0068273,0.022901,340
NEK2,0.0068413,0.02294,341
EDN3,0.0068541,0.02298,342
TBC1D24,0.0068611,0.023001,343
BAZ2B,0.0068625,0.023004,344
COL6A1,0.0068997,0.023127,345
IRGQ,0.0069158,0.023178,346
MED12L,0.006969,0.023346,347
MYH7,0.007014,0.023482,348
CHRAC1,0.0070283,0.023522,349
MYO5C,0.0070755,0.023681,350
SLC44A1,0.0071287,0.023858,351
GPR19,0.0071465,0.02391,352
ASCL1,0.0071598,0.023952,353
CNDP2,0.007182,0.024009,354
FUT6,0.0071874,0.024024,355
SPINK13,0.0072094,0.024075,356
SLC6A3,0.0072133,0.024084,357
C10orf113,0.0072352,0.024151,358
PPP2R1A,0.0072535,0.024206,359
hsa-let-7a-2,0.0072669,0.019601,360
UBL5,0.0072884,0.02432,361
ABCA5,0.0073186,0.024412,362
KIFAP3,0.0073417,0.024481,363
EPS8L1,0.0073938,0.024646,364
HOXB5,0.0073949,0.024654,365
POLR1C,0.0074014,0.024673,366
TMEM14A,0.0074153,0.024717,367
HRASLS5,0.0074199,0.024734,368
HES6,0.0074337,0.024776,369
HECTD3,0.0074481,0.024821,370
FBXO21,0.0074768,0.024916,371
ADAD2,0.0074824,0.024934,372
TIFAB,0.0075014,0.025004,373
PEG10,0.0075047,0.025019,374
MATK,0.0075387,0.025138,375
PRR14,0.0075546,0.025186,376
SUPT7L,0.0075556,0.025191,377
SLC4A3,0.0075562,0.025193,378
RABEPK,0.0076078,0.025358,379
ELP6,0.0076576,0.025528,380
RNFT2,0.007661,0.02554,381
SLC36A2,0.00769,0.025623,382
FAIM2,0.0077142,0.02569,383
KRT31,0.0077576,0.025826,384
NOA1,0.0077674,0.025855,385
ITPRIP,0.0078206,0.026023,386
MST4,0.007821,0.026024,387
TBX22,0.0078346,0.026059,388
PLEKHN1,0.0078403,0.026079,389
CD9,0.0078677,0.026162,390
BTBD10,0.0078739,0.026186,391
DHRS13,0.0078806,0.026209,392
VEGFC,0.0079271,0.026343,393
ZNF266,0.0079383,0.02637,394
MEP1A,0.0079417,0.026382,395
MAB21L1,0.007973,0.026487,396
ENG,0.0079893,0.026537,397
PCDHA2,0.0079895,0.01518,398
PARP14,0.0080335,0.026665,399
MAMDC4,0.0080426,0.026693,400
HNRNPLL,0.0080867,0.026821,401
SPATC1,0.0081399,0.026927,402
METTL15,0.0081885,0.027038,403
NUP210,0.008193,0.02705,404
SLC22A4,0.0081973,0.027057,405
LRRTM4,0.0082015,0.027065,406
SULF2,0.0082354,0.027138,407
SNRPB,0.0082462,0.027158,408
BTBD9,0.0082799,0.027235,409
ZFAND6,0.0082994,0.027286,410
NXN,0.0083526,0.027385,411
RBM45,0.0084007,0.027494,412
IDUA,0.0084058,0.027504,413
RDH5,0.008472,0.027653,414
PTCH1,0.0084869,0.027691,415
PPP6R3,0.0084942,0.027706,416
FANCC,0.0085122,0.027747,417
GPR85,0.0085317,0.027796,418
CCND3,0.0085616,0.027866,419
PM20D1,0.0085653,0.027874,420
PDE12,0.0085915,0.027937,421
KMO,0.0085975,0.027952,422
TRIM61,0.0086185,0.028,423
SSTR4,0.0086717,0.028127,424
APOL6,0.0087249,0.028255,425
UBE2D1,0.0087769,0.028363,426
MORN4,0.008778,0.028365,427
TIA1,0.0088312,0.028484,428
L3MBTL1,0.0088753,0.028577,429
NUP107,0.0088843,0.028597,430
NDUFB7,0.0088889,0.028612,431
M6PR,0.0089659,0.028787,432
STK10,0.0089741,0.028804,433
MAFB,0.0089907,0.028839,434
ARHGEF38,0.0089913,0.02884,435
MOSPD1,0.0090281,0.02892,436
GNAI3,0.0090403,0.028946,437
CCT4,0.0090438,0.028952,438
MAP10,0.0090515,0.028966,439
MTHFD2,0.009071,0.029011,440
TFF3,0.009097,0.029066,441
TMCO4,0.0091573,0.0292,442
CDYL2,0.0092033,0.029289,443
ZNF408,0.0092564,0.029427,444
BSPH1,0.0092711,0.02566,445
MPV17L2,0.0093096,0.029547,446
ZDHHC18,0.0093184,0.029567,447
OR2T33,0.0093558,0.029652,448
MUL1,0.0093627,0.029669,449
LPAR5,0.009371,0.029689,450
TRPM4,0.0094158,0.029788,451
GMPPB,0.009469,0.029901,452
WDR48,0.0094997,0.029979,453
SULT1A3,0.0095047,0.02999,454
FRMD3,0.0095221,0.030027,455
LMAN2,0.0095311,0.030046,456
OXTR,0.0096194,0.03024,457
CGA,0.009631,0.030265,458
PTRH1,0.009632,0.030269,459
SLC26A6,0.009708,0.030447,460
KDELC2,0.0097346,0.030508,461
GLDN,0.009735,0.03051,462
SSX2IP,0.009797,0.030644,463
KIAA2013,0.0098409,0.030757,464
SCG2,0.0098485,0.030778,465
CDC37,0.0098924,0.030872,466
SULT2A1,0.0099158,0.030917,467
OPHN1,0.0099471,0.030973,468
KCNK2,0.0099716,0.031023,469
CD22,0.01,0.03109,470
SLC35D3,0.010048,0.031206,471
ASB1,0.010086,0.031294,472
DDX58,0.010106,0.031342,473
FLT4,0.010124,0.031388,474
SEC14L1,0.01015,0.031435,475
ORM2,0.010155,0.026839,476
POP7,0.01016,0.031452,477
PSMC5,0.010163,0.031461,478
LRRC28,0.010213,0.031576,479
MT1M,0.010245,0.027989,480
PIKFYVE,0.010266,0.03168,481
SGSH,0.010275,0.031701,482
ZNF85,0.01028,0.031708,483
KCNS3,0.010302,0.031758,484
SS18,0.010332,0.031834,485
GYS1,0.010358,0.031897,486
FAM53C,0.010372,0.031928,487
GPX6,0.010398,0.031978,488
TOM1L2,0.010401,0.031984,489
MED28,0.010425,0.032033,490
CCL23,0.010428,0.032039,491
C11orf53,0.010469,0.032144,492
VIM,0.010478,0.032163,493
TMEM35,0.010492,0.032186,494
RPL41,0.010509,0.027716,495
TGFBR3L,0.010531,0.032272,496
NCKIPSD,0.010542,0.032293,497
HLCS,0.010568,0.032352,498
PMVK,0.010584,0.032385,499
TLL2,0.010637,0.032497,500
IRF4,0.010674,0.03258,501
IRAK3,0.01069,0.032617,502
DUX2,0.0107,0.03264,503
IL27,0.010709,0.03266,504
UBQLN1,0.010741,0.032721,505
CYP4F22,0.010744,0.032733,506
RASL10B,0.010754,0.032759,507
MBNL2,0.010797,0.032839,508
ITFG2,0.01084,0.032927,509
CCNI,0.01085,0.032941,510
SLC9A2,0.010851,0.032943,511
IFI27,0.01086,0.032962,512
FBXO42,0.010903,0.033049,513
SLC35F1,0.010921,0.033087,514
AGBL5,0.010927,0.0331,515
MIA2,0.010956,0.033167,516
FEM1C,0.011009,0.033296,517
ARHGDIB,0.011015,0.033311,518
SLCO1B1,0.011019,0.033321,519
ARHGEF11,0.011055,0.033394,520
OR4E2,0.011062,0.033413,521
EZR,0.011157,0.033636,522
OSBPL7,0.011163,0.033651,523
SETMAR,0.011168,0.033661,524
SLC34A1,0.011176,0.033677,525
FAM86A,0.011221,0.033771,526
DHX8,0.011251,0.033837,527
CYC1,0.011274,0.033887,528
UPK1A,0.011284,0.033909,529
EGR4,0.011319,0.033984,530
IL17A,0.011327,0.034003,531
NKX3-2,0.01136,0.034081,532
KIF14,0.011414,0.034211,533
ATP2B3,0.011421,0.034225,534
ACSBG2,0.011428,0.03424,535
OR7D2,0.011433,0.034248,536
LMF2,0.011449,0.034276,537
ASPSCR1,0.011453,0.034284,538
C19orf81,0.011486,0.034358,539
TMCO6,0.011498,0.034376,540
LINGO3,0.011507,0.034391,541
REP15,0.011539,0.034455,542
SHQ1,0.01154,0.034455,543
GAS1,0.011586,0.034571,544
IFNA2,0.011594,0.034585,545
CHRNA4,0.0116,0.034594,546
KRT27,0.011646,0.034709,547
ZFP90,0.011682,0.034776,548
ABLIM1,0.011699,0.034808,549
GALNT15,0.011703,0.034819,550
NOMO3,0.011708,0.024752,551
AQP3,0.011747,0.034918,552
DBNDD2,0.011752,0.034928,553
PRR13,0.011759,0.034939,554
NBPF4,0.011786,0.035005,555
TAF3,0.011805,0.035045,556
OPRK1,0.011858,0.035154,557
MYH7B,0.01191,0.035274,558
MXI1,0.011911,0.035276,559
BCL2A1,0.011932,0.035323,560
PPIAL4F,0.011959,0.031226,561
LRRC14,0.011964,0.035392,562
SIRPB2,0.011973,0.03541,563
HINT3,0.012078,0.035649,564
GOT1,0.012107,0.035714,565
FAM57B,0.012128,0.035768,566
RGS4,0.012199,0.035914,567
APP,0.01222,0.035963,568
TMEM125,0.012229,0.035983,569
YDJC,0.012234,0.035995,570
ATL2,0.012248,0.036024,571
CENPB,0.012276,0.036089,572
CNIH1,0.012307,0.032057,573
SAMD10,0.012354,0.036259,574
COL11A1,0.012399,0.036358,575
LRRC4,0.012404,0.036371,576
FAM151B,0.012441,0.036454,577
WFS1,0.012475,0.036539,578
SAA1,0.012494,0.036583,579
DNHD1,0.01251,0.036618,580
ASXL1,0.012532,0.036666,581
COMT,0.012547,0.036701,582
GDF5,0.012547,0.036702,583
ALPPL2,0.01255,0.036711,584
MYBPC1,0.012567,0.036752,585
BRI3BP,0.012589,0.036802,586
TYROBP,0.0126,0.036828,587
ZNF781,0.012618,0.036868,588
TECPR1,0.012649,0.036935,589
C14orf166B,0.012653,0.036942,590
OMA1,0.012696,0.037032,591
TIGD4,0.012706,0.037052,592
RNASEH1,0.012711,0.037063,593
SHKBP1,0.012755,0.037168,594
AOC2,0.012759,0.037179,595
LAT2,0.012761,0.037185,596
NEO1,0.012812,0.037286,597
BSCL2,0.012865,0.037408,598
SLC5A8,0.012868,0.037419,599
OR4F17,0.012918,0.037513,600
CYGB,0.012971,0.03763,601
SUCLG1,0.013014,0.03772,602
FHL3,0.013024,0.037748,603
TTLL12,0.013077,0.037864,604
MRPS18A,0.013091,0.037899,605
RFESD,0.013123,0.037982,606
B4GALT5,0.01313,0.037991,607
C6orf120,0.013181,0.038101,608
ALS2CL,0.013183,0.038107,609
PTPLB,0.013183,0.038108,610
MAP7D2,0.013232,0.038204,611
DNAJC12,0.013236,0.038209,612
GTF2F2,0.013289,0.038326,613
ESM1,0.01332,0.038401,614
RNF19B,0.013342,0.038445,615
ARID5A,0.013349,0.038463,616
HERC4,0.013372,0.038501,617
LPCAT1,0.013394,0.038557,618
CALHM1,0.013447,0.038682,619
STXBP1,0.0135,0.038801,620
AGO2,0.013541,0.038897,621
DAZAP2,0.013553,0.038925,622
TMPRSS5,0.013585,0.038991,623
ZNF28,0.013606,0.039041,624
HPRT1,0.013608,0.039045,625
C5orf24,0.013621,0.039072,626
PGM2L1,0.013659,0.039159,627
hsa-let-7b,0.013659,0.035381,628
PRR12,0.013681,0.039221,629
ARFGAP1,0.013712,0.039284,630
INO80C,0.013735,0.039326,631
CSF2RA_X,0.013765,0.039388,632
MALSU1,0.013786,0.039433,633
POU3F3,0.013801,0.039463,634
SERPINC1,0.013808,0.039481,635
MIB2,0.013818,0.039504,636
OPTN,0.013823,0.039521,637
FLNA,0.013825,0.039525,638
SCGB1D4,0.013846,0.039568,639
POLK,0.013871,0.039627,640
SPATA6L,0.013882,0.039646,641
RABEP1,0.013935,0.039754,642
ARRB1,0.013965,0.039819,643
ADAMTS9,0.013977,0.039841,644
MX2,0.013995,0.039872,645
HSPG2,0.01403,0.039961,646
FBXO44,0.014055,0.040012,647
VAV1,0.014083,0.040069,648
ATP13A2,0.014089,0.04008,649
IRF9,0.014136,0.040167,650
HSD3B2,0.014189,0.040272,651
GCH1,0.014194,0.04029,652
MUC4,0.014227,0.040366,653
UQCRHL,0.014242,0.040398,654
TRMU,0.014289,0.040502,655
ADD1,0.014294,0.040514,656
WDR55,0.0143,0.040524,657
TWF2,0.014304,0.040536,658
PSMD10,0.01433,0.040597,659
PATE2,0.014337,0.040614,660
DEXI,0.014342,0.040623,661
THY1,0.014344,0.040628,662
CCDC41,0.014347,0.040641,663
GFI1B,0.014357,0.040662,664
OR13F1,0.0144,0.040755,665
LRRC8B,0.014448,0.040862,666
PCDH9,0.014453,0.040877,667
PRKAR2A,0.014464,0.040897,668
TMEM109,0.014506,0.040985,669
XG,0.014559,0.041105,670
AMY2A,0.014603,0.037743,671
MS4A2,0.014612,0.041209,672
AIG1,0.014624,0.041241,673
TOX3,0.01464,0.041274,674
PCDHGC5,0.014683,0.027564,675
RBCK1,0.014771,0.04155,676
F10,0.014775,0.041558,677
FGFRL1,0.014816,0.041648,678
CRYM,0.014824,0.041665,679
ZDHHC14,0.01485,0.041718,680
QSER1,0.014854,0.041728,681
STON1,0.014876,0.041787,682
CMIP,0.014893,0.041828,683
GOLGA5,0.014929,0.041908,684
PTGIR,0.014954,0.041957,685
PRKAB2,0.014959,0.041963,686
KAZN,0.014974,0.041996,687
LNP1,0.014982,0.042012,688
PLAC1,0.014993,0.042037,689
TOP2A,0.01503,0.042107,690
NRG1,0.015035,0.04212,691
TAB3,0.015055,0.042153,692
TMEM181,0.015068,0.042182,693
FRMPD4,0.015088,0.042226,694
SIPA1L2,0.01514,0.042351,695
WISP3,0.015141,0.042351,696
RBMY1A1,0.015171,0.042421,697
PAIP2B,0.015178,0.042433,698
OPTC,0.015195,0.042463,699
RHOU,0.015197,0.042469,700
GMPS,0.015247,0.042572,701
GPC2,0.015257,0.0426,702
P2RX2,0.015285,0.042654,703
KATNB1,0.015299,0.042681,704
SURF4,0.015352,0.042796,705
ZBED4,0.015405,0.04291,706
FCAMR,0.015453,0.042999,707
GNB1L,0.015457,0.043007,708
CACUL1,0.015564,0.04325,709
B4GALT4,0.01561,0.043347,710
CEND1,0.015617,0.043359,711
SCAMP5,0.015657,0.043452,712
RIPK4,0.01567,0.043498,713
KCND3,0.015712,0.043582,714
WNT10B,0.015775,0.043721,715
HSD17B13,0.015776,0.043722,716
SLC25A6_X,0.0158,0.043774,717
HSD17B2,0.015828,0.043834,718
PF4,0.015881,0.043951,719
PSMD3,0.015934,0.044064,720
PDIA4,0.015934,0.044066,721
NPY4R,0.015982,0.044167,722
DPYSL4,0.015987,0.044177,723
ZNF576,0.01599,0.044191,724
LRRC16B,0.015998,0.044209,725
VSTM4,0.016039,0.044297,726
HES4,0.016092,0.044395,727
TMEM95,0.016145,0.044505,728
INSL6,0.016198,0.044606,729
ZNF461,0.016203,0.044612,730
SERPINA9,0.016251,0.044704,731
TEAD3,0.016282,0.044775,732
SLC1A2,0.016302,0.044809,733
DNAH14,0.016409,0.045065,734
SUOX,0.016437,0.045128,735
TNFSF13B,0.016462,0.045184,736
LST1,0.016487,0.045239,737
KLF5,0.01652,0.045313,738
OCSTAMP,0.016549,0.045375,739
TGM7,0.016568,0.045416,740
UCP3,0.016621,0.045542,741
DOK7,0.016625,0.045558,742
RAP2A,0.016666,0.045642,743
HPR,0.016678,0.045664,744
APOE,0.016726,0.045759,745
NELL2,0.01673,0.045765,746
FAM181B,0.016767,0.045845,747
RNASE13,0.016779,0.045874,748
