id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,neg|lfc,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc
CDK6,6,0.99648,0.9965,1,20291,0,0.82801,2.5754e-06,1.2336e-05,0.005489,44,5,0.82801
ZZZ3,6,0.2934,0.49048,1,9731,2,0.66857,2.6016e-06,1.2336e-05,0.005489,45,4,0.66857
SLFN11,6,0.83209,0.86267,1,17279,1,0.61482,2.6147e-06,1.2336e-05,0.005489,46,4,0.61482
HSPA8,6,0.98065,0.98059,1,19886,0,0.89945,3.0009e-06,1.4755e-05,0.006425,47,4,0.89945
CTPS1,6,0.91009,0.91261,1,18352,1,1.0007,3.13e-06,1.5239e-05,0.006498,48,5,1.0007
UBE2K,6,0.99996,0.99997,1,20443,0,0.68556,3.4005e-06,1.6207e-05,0.006769,49,6,0.68556
RIOK1,6,0.77734,0.83704,1,16703,1,0.88338,3.9784e-06,1.9109e-05,0.007822,50,5,0.88338
EMC6,6,0.84693,0.87074,1,17460,1,0.78611,4.3534e-06,2.0077e-05,0.008057,51,5,0.78611
EIF5,6,0.99954,0.99953,1,20409,0,0.65896,4.6116e-06,2.1044e-05,0.008283,52,6,0.65896
BRD4,6,0.9162,0.91775,1,18456,1,0.26606,5.3307e-06,2.3947e-05,0.009247,53,3,0.26606
SARS,6,0.93377,0.93404,1,18809,0,0.66901,5.9868e-06,2.5882e-05,0.009809,54,5,0.66901
EIF2B5,6,0.9998,0.99981,1,20426,0,0.64554,6.4849e-06,2.7817e-05,0.010351,55,6,0.64554
RPL23,6,0.86043,0.87853,1,17591,1,1.3106,6.9735e-06,3.0236e-05,0.01103,56,5,1.3106
RPL37A,6,0.99431,0.99432,1,20212,0,0.80857,7.0375e-06,3.072e-05,0.01103,57,5,0.80857
WDR24,6,0.99999,0.99999,1,20452,0,0.79009,7.5427e-06,3.2171e-05,0.011352,58,6,0.79009
COPE,6,0.66506,0.7791,1,15465,2,0.61405,8.9702e-06,3.8944e-05,0.013449,59,4,0.61405
SNRNP35,6,0.97421,0.97417,1,19739,0,0.87419,9.0463e-06,3.9428e-05,0.013449,60,5,0.87419
RPS11,6,0.74404,0.82357,1,16397,1,0.71585,1.0114e-05,4.4266e-05,0.014851,61,4,0.71585
CTDSPL2,6,0.99178,0.99175,1,20149,0,0.63491,1.0281e-05,4.6201e-05,0.015251,62,5,0.63491
CCND3,6,0.13036,0.29765,1,5920,1,0.95898,1.1073e-05,5.1039e-05,0.016476,63,5,0.95898
MDN1,6,0.67756,0.78837,1,15681,2,0.73972,1.1095e-05,5.1522e-05,0.016476,64,4,0.73972
EIF5A,6,0.95119,0.95127,1,19198,0,0.042085,1.2042e-05,5.636e-05,0.017746,65,2,0.042085
RPL9,6,0.82354,0.85829,1,17167,1,1.2049,1.2207e-05,5.8295e-05,0.017955,66,5,1.2049
DBR1,6,0.97772,0.97758,1,19819,0,0.68041,1.2394e-05,5.8779e-05,0.017955,67,5,0.68041
TRMT112,6,0.97274,0.97269,1,19701,0,1.1208,1.4049e-05,6.5552e-05,0.019729,68,5,1.1208
TAF12,6,0.98996,0.98995,1,20107,0,0.5231,1.4852e-05,6.7971e-05,0.020156,69,4,0.5231
PAICS,6,0.53778,0.68989,1,13673,1,0.7789,1.4978e-05,6.8938e-05,0.020156,70,5,0.7789
PSIP1,6,0.92519,0.92572,1,18623,1,0.45075,1.5221e-05,7.039e-05,0.02029,71,5,0.45075
TMEM164,6,0.99996,0.99996,1,20442,0,0.61607,1.6989e-05,7.7646e-05,0.022071,72,6,0.61607
CDK13,6,0.74594,0.82431,1,16415,1,0.53162,1.7739e-05,8.2484e-05,0.023125,73,5,0.53162
BAX,6,0.97811,0.978,1,19826,0,0.40473,1.9136e-05,9.4095e-05,0.026024,74,5,0.40473
NARS,6,0.99998,0.99998,1,20449,0,0.65089,1.9597e-05,9.603e-05,0.026205,75,6,0.65089
MLST8,6,0.99998,0.99998,1,20448,0,0.6573,2.1429e-05,0.00010667,0.028726,76,6,0.6573
CRLS1,6,0.99989,0.9999,1,20437,0,0.52782,2.2977e-05,0.00011683,0.031053,77,6,0.52782
ARHGAP6,6,0.99822,0.99825,1,20364,0,0.49971,2.345e-05,0.00011973,0.031417,78,5,0.49971
PHB,6,0.99351,0.99351,1,20198,0,0.79587,2.461e-05,0.00012699,0.032899,79,5,0.79587
SUZ12,6,0.99796,0.998,1,20355,0,0.50139,2.9615e-05,0.00016037,0.040887,80,5,0.50139
FADS2,6,0.99997,0.99997,1,20446,0,0.36601,2.974e-05,0.00016182,0.040887,81,6,0.36601
RPL18A,6,0.99065,0.99064,1,20129,0,1.0045,3.1046e-05,0.00016763,0.041313,82,5,1.0045
LAMTOR1,6,0.97286,0.97282,1,19703,0,0.55465,3.1522e-05,0.00016908,0.041313,83,5,0.55465
CAD,6,0.99997,0.99997,1,20445,0,0.73276,3.1642e-05,0.00016956,0.041313,84,6,0.73276
CKS1B,6,0.99997,0.99997,1,20444,0,0.5732,3.2805e-05,0.00017392,0.041875,85,6,0.5732
RPS23,6,0.99675,0.99677,1,20305,0,0.64633,3.667e-05,0.00019762,0.04703,86,5,0.64633
ZSWIM8,6,0.99902,0.99904,1,20391,0,0.4559,3.8978e-05,0.00021069,0.049116,87,5,0.4559
EMC1,6,0.98336,0.98328,1,19944,0,0.60196,3.9522e-05,0.0002131,0.049116,88,5,0.60196
PRELID1,6,0.69078,0.79818,1,15891,1,0.69915,3.9814e-05,0.00021359,0.049116,89,5,0.69915
SPRTN,6,0.99712,0.99716,1,20318,0,0.51311,4.2261e-05,0.00022762,0.051627,90,5,0.51311
TSSC4,6,0.99238,0.99239,1,20164,0,0.3306,4.2489e-05,0.00022955,0.051627,91,3,0.3306
OGDH,6,0.99755,0.99758,1,20330,0,0.59147,4.943e-05,0.00026535,0.059029,92,5,0.59147
PA2G4,6,0.80758,0.85052,1,16995,1,0.53355,5.2797e-05,0.00028277,0.062227,93,5,0.53355
EED,6,0.96621,0.96625,1,19543,0,0.46894,5.6712e-05,0.0003026,0.065884,94,5,0.46894
PHB2,6,0.83327,0.86329,1,17287,1,1.0435,6.0459e-05,0.00031518,0.0679,95,4,1.0435
PISD,6,0.98526,0.98522,1,19983,0,0.66544,6.5043e-05,0.00033308,0.071009,96,4,0.66544
CCDC101,6,0.99345,0.99346,1,20197,0,0.55771,6.5825e-05,0.00034034,0.071808,97,5,0.55771
PIANP,6,0.9929,0.99292,1,20175,0,0.41521,6.8502e-05,0.00035679,0.07451,98,4,0.41521
RPS18,6,0.99014,0.99014,1,20113,0,0.66294,7.0068e-05,0.00036501,0.075458,99,3,0.66294
HMGB1,6,0.94347,0.94365,1,19017,0,0.56805,7.5136e-05,0.00039017,0.079851,100,5,0.56805
BRF1,6,0.45212,0.63376,1,12553,1,0.56487,7.92e-05,0.00040516,0.0821,101,4,0.56487
DTYMK,6,0.93018,0.93047,1,18732,1,0.80374,8.553e-05,0.00043419,0.087119,102,5,0.80374
RPL10,6,0.97863,0.97855,1,19837,0,0.58348,8.7407e-05,0.00044483,0.088388,103,5,0.58348
BCL11A,6,0.99991,0.99991,1,20441,0,0.29497,9.1126e-05,0.00046951,0.092393,104,6,0.29497
MIOS,6,0.97538,0.97529,1,19762,0,0.44972,9.3957e-05,0.00048015,0.093588,105,5,0.44972
MED12,6,0.9897,0.9897,1,20100,0,0.56747,9.4857e-05,0.00048644,0.093919,106,5,0.56747
TFDP2,6,0.60739,0.73775,1,14634,1,0.53565,9.9728e-05,0.00050482,0.096558,107,5,0.53565
NEDD1,6,0.9999,0.9999,1,20440,0,0.40079,0.00010269,0.00052127,0.098781,108,6,0.40079
TRNT1,6,0.9999,0.9999,1,20439,0,0.42886,0.00010404,0.00052804,0.098965,109,6,0.42886
UQCR10,6,0.9999,0.9999,1,20438,0,0.53643,0.00010471,0.00053191,0.098965,110,6,0.53643
TFB2M,6,0.69906,0.80452,1,16026,1,0.46835,0.00011163,0.00058077,0.105976,111,5,0.46835
SLC20A1,6,0.99397,0.99399,1,20206,0,0.8584,0.00011262,0.00058465,0.105976,112,5,0.8584
GPI,6,0.973,0.97295,1,19709,0,0.61887,0.00011269,0.00058513,0.105976,113,4,0.61887
GTF2A2,6,0.68587,0.79457,1,15825,1,0.52747,0.00011971,0.00062673,0.112515,114,5,0.52747
FAM60A,6,0.98583,0.98579,1,19996,0,0.49918,0.00012352,0.0006485,0.115411,115,4,0.49918
AKAP4,6,0.88372,0.89317,1,17932,1,0.47088,0.0001245,0.00065431,0.11544,116,5,0.47088
PMPCA,6,0.78231,0.83916,1,16746,1,0.70897,0.00012538,0.00066011,0.115469,117,4,0.70897
OSGEP,6,0.99987,0.99988,1,20435,0,0.29691,0.00013064,0.00068721,0.119189,118,6,0.29691
CHORDC1,6,0.77573,0.83632,1,16682,1,0.39262,0.0001336,0.00070172,0.120684,119,5,0.39262
EXOSC1,6,0.99883,0.99885,1,20378,0,0.47374,0.00014188,0.00073679,0.125563,120,5,0.47374
FOXP1,6,0.99604,0.99607,1,20277,0,0.29758,0.00014326,0.00074236,0.125563,121,4,0.29758
PPEF2,6,0.9996,0.99959,1,20414,0,0.31987,0.00014516,0.00075058,0.125913,122,6,0.31987
EHMT1,6,0.95599,0.95602,1,19314,0,0.39329,0.00014723,0.00075977,0.126419,123,4,0.39329
CEBPG,6,0.99339,0.99341,1,20194,0,0.43423,0.00015005,0.00077767,0.12805,124,4,0.43423
R3HDM1,6,0.99985,0.99986,1,20434,0,0.23918,0.00015218,0.00078638,0.12805,125,6,0.23918
SPIN3,6,0.97649,0.97637,1,19787,0,0.43209,0.00015384,0.00079315,0.12805,126,4,0.43209
SIRT1,6,0.99968,0.99969,1,20416,0,0.45202,0.00015452,0.0007946,0.12805,127,6,0.45202
RNF138,6,0.72269,0.81569,1,16243,1,0.19107,0.00015617,0.00080234,0.128287,128,3,0.19107
EPC1,6,0.92418,0.92481,1,18606,1,0.39124,0.00016431,0.00084056,0.133356,129,5,0.39124
THAP11,6,0.95473,0.95479,1,19287,0,0.69777,0.00017173,0.00089378,0.138357,130,4,0.69777
STIP1,6,0.99983,0.99984,1,20432,0,0.26209,0.00017197,0.00089475,0.138357,131,6,0.26209
TANGO6,6,0.99983,0.99984,1,20431,0,0.31811,0.00017212,0.00089523,0.138357,132,6,0.31811
BBC3,6,0.99983,0.99984,1,20430,0,0.27022,0.0001737,0.00090587,0.138357,133,6,0.27022
TARS,6,0.99273,0.99276,1,20170,0,0.42914,0.00017432,0.00090926,0.138357,134,4,0.42914
BBX,6,0.99758,0.99761,1,20332,0,0.35961,0.00017562,0.00091265,0.138357,135,4,0.35961
METAP2,6,0.99004,0.99004,1,20110,0,0.41973,0.00017726,0.00092377,0.139014,136,5,0.41973
SSC5D,6,0.98728,0.98723,1,20028,0,0.29718,0.00018115,0.00094651,0.141396,137,5,0.29718
TRIM50,6,0.99982,0.99983,1,20429,0,0.25549,0.00018291,0.00095667,0.141878,138,6,0.25549
DPY30,6,0.27492,0.46969,1,9274,3,0.32306,0.00018466,0.00096635,0.142282,139,3,0.32306
TTC14,6,0.99981,0.99981,1,20428,0,0.34387,0.00019224,0.0010113,0.146865,140,6,0.34387
SKIL,6,0.99981,0.99981,1,20427,0,0.26646,0.00019228,0.0010118,0.146865,141,6,0.26646
EXOSC2,6,0.96867,0.96871,1,19607,0,0.4671,0.00020114,0.0010602,0.152803,142,5,0.4671
ZMAT5,6,0.9998,0.9998,1,20425,0,0.4486,0.00020278,0.0010728,0.153535,143,6,0.4486
MRPL13,6,0.99979,0.9998,1,20424,0,0.55901,0.0002059,0.0010883,0.153804,144,6,0.55901
MRPL36,6,0.99979,0.9998,1,20423,0,0.49998,0.00020691,0.0010945,0.153804,145,6,0.49998
HSPA9,6,0.48715,0.65653,1,13000,1,0.10274,0.00020756,0.0010972,0.153804,146,3,0.10274
SUPT16H,6,0.65811,0.77393,1,15349,2,0.6157,0.00021224,0.0011207,0.15429,147,4,0.6157
GCNT1,6,0.47191,0.64671,1,12803,1,0.43652,0.00021271,0.0011236,0.15429,148,4,0.43652
hsa-mir-18a,4,0.99979,0.99979,1,20422,0,0.34766,0.00021388,0.0011294,0.15429,149,4,0.34766
PHF14,6,0.98574,0.9857,1,19993,0,0.32716,0.00021405,0.0011308,0.15429,150,5,0.32716
UBP1,6,0.93147,0.93174,1,18761,1,0.4239,0.00021957,0.0011599,0.157203,151,5,0.4239
hsa-mir-595,4,0.9262,0.92666,1,18643,0,0.029499,0.00022317,0.0011816,0.1591,152,1,0.029499
METTL14,6,0.99976,0.99976,1,20421,0,0.41997,0.00024207,0.0012731,0.170291,153,6,0.41997
PDAP1,6,0.99975,0.99975,1,20420,0,0.32242,0.00024559,0.00129,0.170808,154,6,0.32242
RPL13A,6,0.95091,0.95099,1,19189,0,0.72581,0.00024598,0.0012936,0.170808,155,5,0.72581
TRAPPC3,6,0.98805,0.98802,1,20059,0,0.58118,0.00024847,0.001306,0.171332,156,5,0.58118
GRPEL1,6,0.99273,0.99276,1,20169,0,0.42833,0.00027159,0.0014264,0.185943,157,5,0.42833
TAF10,6,0.46973,0.64536,1,12773,2,0.4425,0.0002798,0.0014612,0.189278,158,4,0.4425
WDR59,6,0.76797,0.83311,1,16620,1,0.40216,0.00029122,0.0015215,0.19584,159,4,0.40216
ADIPOR2,6,0.96053,0.96052,1,19418,0,0.54494,0.00030104,0.0015677,0.200526,160,5,0.54494
WARS,6,0.99969,0.99969,1,20418,0,0.3495,0.00031253,0.0016194,0.205507,161,6,0.3495
TNFAIP1,6,0.99969,0.99969,1,20417,0,0.27309,0.00031464,0.0016267,0.205507,162,6,0.27309
RPL27,6,0.8376,0.86565,1,17353,1,0.59973,0.00032174,0.0016567,0.208012,163,3,0.59973
KARS,6,0.94565,0.94585,1,19072,0,0.50994,0.0003269,0.0016843,0.208829,164,5,0.50994
SDAD1,6,0.99757,0.9976,1,20331,0,0.48153,0.00032776,0.0016872,0.208829,165,5,0.48153
RPL12,6,0.90549,0.90894,1,18269,1,0.28125,0.00033162,0.0017051,0.208829,166,3,0.28125
CRCP,6,0.99967,0.99967,1,20415,0,0.42756,0.00033362,0.0017172,0.208829,167,6,0.42756
IARS2,6,0.99652,0.99654,1,20295,0,0.67173,0.00033543,0.0017215,0.208829,168,5,0.67173
TIMM23,6,0.99123,0.99123,1,20139,0,0.48645,0.0003364,0.0017244,0.208829,169,5,0.48645
PHF15,6,0.94749,0.94764,1,19119,0,0.35953,0.00034245,0.0017602,0.21013,170,5,0.35953
FBXL17,6,0.94642,0.94661,1,19092,0,0.28398,0.00034532,0.0017718,0.21013,171,3,0.28398
EPT1,6,0.99398,0.99401,1,20207,0,0.34739,0.0003461,0.0017743,0.21013,172,5,0.34739
TIMM13,6,0.85844,0.87734,1,17577,1,0.59508,0.00034697,0.0017801,0.21013,173,4,0.59508
RPL4,6,0.24699,0.43792,1,8644,1,0.91422,0.00034896,0.0017902,0.21013,174,5,0.91422
MLLT10,6,0.99948,0.99947,1,20406,0,0.40423,0.00035099,0.001797,0.21013,175,6,0.40423
ZAR1L,6,0.8178,0.85544,1,17112,1,0.46967,0.00035545,0.0018159,0.21013,176,4,0.46967
RPL18,6,0.53962,0.69105,1,13698,1,0.41351,0.00035561,0.0018173,0.21013,177,5,0.41351
KIAA0195,6,0.89121,0.89828,1,18040,1,0.43288,0.00036041,0.001842,0.211787,178,5,0.43288
EIF5B,6,0.96871,0.96874,1,19609,0,0.57363,0.00036882,0.001886,0.215044,179,4,0.57363
RPRD2,6,0.87635,0.88837,1,17814,1,0.32774,0.00037034,0.0018913,0.215044,180,5,0.32774
MIF,6,0.54539,0.69497,1,13778,1,0.44148,0.00039075,0.0019871,0.224687,181,5,0.44148
RPS24,6,0.69538,0.80166,1,15964,1,0.47572,0.00039875,0.0020282,0.228076,182,5,0.47572
SOX13,6,0.99958,0.99957,1,20412,0,0.4346,0.00041738,0.0021226,0.23738,183,6,0.4346
TMCC3,6,0.3638,0.56807,1,11289,1,0.28638,0.00042648,0.0021724,0.241633,184,4,0.28638
ELOVL2,6,0.245,0.43562,1,8586,3,-0.12565,0.00043772,0.0022396,0.247766,185,2,-0.12565
RPS8,6,0.99567,0.99572,1,20263,0,0.75076,0.0004411,0.0022556,0.24819,186,4,0.75076
METTL15,6,0.99955,0.99955,1,20411,0,0.28748,0.00044709,0.0022827,0.249828,187,6,0.28748
MTHFD2,6,0.99955,0.99954,1,20410,0,0.27093,0.00045135,0.0023045,0.250869,188,6,0.27093
GLRX5,6,0.99789,0.99792,1,20350,0,0.53675,0.00045838,0.002335,0.251594,189,5,0.53675
NRCAM,6,0.9068,0.91,1,18293,1,0.44065,0.00045917,0.0023388,0.251594,190,4,0.44065
MED21,6,0.1061,0.25301,1,5008,2,0.32397,0.00046077,0.002348,0.251594,191,3,0.32397
EIF2B3,6,0.99902,0.99904,1,20390,0,0.54939,0.00046316,0.0023606,0.251624,192,5,0.54939
RPP14,6,0.99472,0.99473,1,20231,0,0.44078,0.00048017,0.0024419,0.25814,193,4,0.44078
MIS12,6,0.77198,0.83474,1,16652,1,0.55097,0.00048071,0.0024469,0.25814,194,4,0.55097
ANAPC11,6,0.7767,0.83675,1,16696,1,0.42679,0.00048574,0.0024675,0.258974,195,4,0.42679
RHOA,6,0.99951,0.9995,1,20408,0,0.26245,0.00049326,0.0025067,0.260237,196,6,0.26245
ASPM,6,0.97084,0.97079,1,19657,0,0.19082,0.00049372,0.0025086,0.260237,197,5,0.19082
RPL37,6,0.15791,0.33274,1,6613,1,0.27397,0.00049809,0.0025285,0.260237,198,3,0.27397
SOX15,6,0.12629,0.2903,1,5767,2,0.27169,0.00049842,0.0025304,0.260237,199,4,0.27169
RPL38,6,0.99949,0.99948,1,20407,0,0.57018,0.00051143,0.0025909,0.263969,200,6,0.57018
C3orf17,6,0.99217,0.99216,1,20161,0,0.55798,0.00051234,0.0025967,0.263969,201,4,0.55798
SPPL2A,6,0.87174,0.88542,1,17745,1,0.2858,0.00051408,0.0026054,0.263969,202,5,0.2858
PAPD5,6,0.59567,0.7295,1,14469,1,0.19815,0.00051927,0.0026344,0.264924,203,3,0.19815
EXOSC7,6,0.97365,0.9736,1,19729,0,0.35838,0.00052088,0.0026407,0.264924,204,5,0.35838
EXOSC8,6,0.9797,0.97963,1,19864,0,0.46937,0.00053025,0.0026818,0.267737,205,5,0.46937
WDR20,6,0.99946,0.99945,1,20405,0,0.34497,0.00054246,0.0027408,0.270714,206,6,0.34497
CRIP3,6,0.63872,0.75979,1,15066,1,0.17724,0.00054422,0.00275,0.270714,207,3,0.17724
MRPL9,6,0.99933,0.99933,1,20400,0,0.42051,0.00054651,0.0027554,0.270714,208,6,0.42051
TADA2A,6,0.98213,0.98204,1,19916,0,0.54282,0.00054831,0.0027645,0.270714,209,5,0.54282
SIKE1,6,0.5265,0.68227,1,13506,2,0.32785,0.00055947,0.0028202,0.274847,210,4,0.32785
hsa-mir-3669,2,0.99944,0.99943,1,20404,0,1.5355,0.00056196,0.0028337,0.274858,211,2,1.5355
SPO11,6,0.99943,0.99943,1,20403,0,0.23987,0.00056708,0.0028608,0.276177,212,6,0.23987
ACBD4,6,0.11438,0.26841,1,5312,1,0.30957,0.0005773,0.0029126,0.279854,213,3,0.30957
S100A12,6,0.99051,0.9905,1,20126,0,0.33905,0.00058895,0.0029682,0.283867,214,5,0.33905
TADA1,6,0.98245,0.98237,1,19924,0,0.34526,0.00059789,0.0030069,0.286231,215,5,0.34526
SLC25A26,6,0.94579,0.94598,1,19075,0,0.60563,0.00060784,0.0030543,0.289398,216,5,0.60563
GLTSCR2,6,0.97582,0.97573,1,19771,0,0.64136,0.00061561,0.0030901,0.29144,217,5,0.64136
PCDHB3,6,0.99937,0.99936,1,20402,0,0.20843,0.00062691,0.0031458,0.295327,218,6,0.20843
NRF1,6,0.99439,0.9944,1,20218,0,0.42518,0.00064465,0.0032377,0.300547,219,5,0.42518
POLR2C,6,0.70127,0.80618,1,16063,2,0.60618,0.00064542,0.0032406,0.300547,220,4,0.60618
CLPB,6,0.98886,0.98885,1,20081,0,0.44973,0.00064615,0.0032454,0.300547,221,5,0.44973
USP9X,6,0.64219,0.76228,1,15127,2,0.37629,0.00065104,0.0032725,0.30169,222,4,0.37629
SHQ1,6,0.99934,0.99933,1,20401,0,0.18898,0.00065961,0.0033073,0.303534,223,6,0.18898
WDR1,6,0.99933,0.99932,1,20399,0,0.42356,0.00067378,0.0033678,0.307704,224,6,0.42356
AKT1,6,0.91825,0.91955,1,18502,1,0.41481,0.00068341,0.0034138,0.310517,225,4,0.41481
CATSPERB,6,0.77096,0.83431,1,16642,1,0.41141,0.00069303,0.0034709,0.312381,226,4,0.41141
LAMTOR3,6,0.32941,0.53055,1,10525,1,0.43753,0.00069383,0.0034728,0.312381,227,5,0.43753
OR52H1,6,0.99871,0.99873,1,20371,0,0.3831,0.00069552,0.0034801,0.312381,228,5,0.3831
UGGT1,6,0.98087,0.9808,1,19889,0,0.38545,0.00070518,0.0035221,0.314778,229,5,0.38545
RPL8,6,0.31994,0.52013,1,10299,1,0.64911,0.00073879,0.003675,0.326025,230,4,0.64911
ZNF592,6,0.99716,0.9972,1,20319,0,0.35695,0.00074033,0.0036799,0.326025,231,5,0.35695
NOC4L,6,0.99925,0.99924,1,20398,0,0.46127,0.00075223,0.0037413,0.33004,232,6,0.46127
TNNI3K,6,0.99264,0.99267,1,20168,0,0.57707,0.00077121,0.0038129,0.333524,233,5,0.57707
YTHDF2,6,0.99863,0.99866,1,20370,0,0.23628,0.00077134,0.0038134,0.333524,234,5,0.23628
ATAD3A,6,0.98173,0.98165,1,19910,0,0.49599,0.00077762,0.0038303,0.333579,235,4,0.49599
WHSC1L1,6,0.99088,0.99087,1,20134,0,0.29117,0.00079242,0.0038879,0.334674,236,5,0.29117
CASC3,6,0.35855,0.56238,1,11173,1,0.19678,0.00079373,0.0038917,0.334674,237,3,0.19678
UNC79,6,0.49209,0.65971,1,13062,1,0.04003,0.00079808,0.0039096,0.334674,238,1,0.04003
CASP2,6,0.98602,0.98598,1,20000,0,0.29115,0.00080065,0.0039169,0.334674,239,5,0.29115
CCND2,6,0.94865,0.94878,1,19146,0,0.36759,0.00080332,0.0039246,0.334674,240,4,0.36759
ADH1A,6,0.28683,0.48312,1,9576,3,-0.11615,0.00083231,0.0040519,0.34409,241,2,-0.11615
NDUFB3,6,0.92441,0.92501,1,18609,1,0.37621,0.00083917,0.004077,0.344796,242,5,0.37621
SPA17,6,0.64539,0.76462,1,15166,1,0.10209,0.00084955,0.0041244,0.347161,243,2,0.10209
