id,d7_chemo__d7_control||num,d7_chemo__d7_control||neg|p-value,d7_chemo__d7_control||neg|fdr,d7_chemo__d7_control||neg|rank,d7_chemo__d7_control||neg|goodsgrna,d7_chemo__d7_control||pos|p-value,d7_chemo__d7_control||pos|fdr,d7_chemo__d7_control||pos|rank,d7_chemo__d7_control||pos|goodsgrna,d7_chemo__d7_control||log2FoldChange
ID4,3,0.9579,0.997574,20498,0,0.011884,0.970617,211,2,7.8104
ZFYVE21,3,0.18502,0.984333,3512,1,0.011884,0.970617,213,2,7.8104
CLEC18C,1,0.9613,0.997574,20564,0,0.038808,0.972765,1629,1,7.804
GRAPL,2,0.99791,0.999632,21336,0,0.0040158,0.956958,104,2,7.8033
SIDT1,3,0.79977,0.996322,17118,1,0.012302,0.970617,222,2,7.8019
FRAS1,3,0.97513,0.998121,20874,0,0.01259,0.970617,226,3,7.7976
RNF44,1,0.96069,0.997574,20548,0,0.039419,0.972765,1652,1,7.7976
WHSC1,3,0.8838,0.996322,18893,0,0.01259,0.970617,225,2,7.7976
HOXA1,2,0.9978,0.999632,21333,0,0.0042322,0.956958,108,2,7.7963
DPP6,3,0.80546,0.996322,17226,1,0.012736,0.970617,230,2,7.7954
DOPEY1,1,0.96028,0.997574,20543,0,0.039805,0.972765,1668,1,7.7933
LGALS14,3,0.96644,0.997574,20700,0,0.013192,0.970617,239,2,7.7868
R3HDML,3,0.14849,0.98122,2769,1,0.013192,0.970617,240,2,7.7868
ALOX12,3,0.98681,0.999165,21106,0,0.013352,0.970617,242,3,7.7825
CTAGE9,3,0.85475,0.996322,18272,0,0.013352,0.970617,243,2,7.7825
FNBP4,3,0.66234,0.996322,13799,1,0.013352,0.970617,241,2,7.7825
MAP2K1,3,0.54944,0.996322,10740,1,0.013505,0.972353,244,2,7.7804
KMT2C,1,0.95893,0.997574,20521,0,0.041173,0.972765,1713,1,7.7782
PLCD1,3,0.94698,0.997237,20295,0,0.013692,0.972353,250,2,7.7782
LOC643802,3,0.49449,0.996322,9581,1,0.0139,0.972765,254,2,7.776
TRPM8,1,0.95834,0.997574,20511,0,0.041794,0.972765,1729,1,7.7739
hsa-mir-550a-2,1,0.95805,0.997574,20503,0,0.042082,0.972765,1737,1,7.7695
TESPA1,3,0.79709,0.996322,17055,1,0.01427,0.972765,258,2,7.7695
CINP,1,0.95784,0.997574,20496,0,0.042294,0.972765,1748,1,7.7673
KIAA1217,3,0.24392,0.993219,4858,1,0.014419,0.972765,262,2,7.7673
OR1S2,1,0.95784,0.997574,20495,0,0.042294,0.972765,1747,1,7.7673
TSSK6,3,0.7168,0.996322,15159,1,0.014578,0.972765,264,2,7.7651
RGS18,1,0.95698,0.997574,20480,0,0.043149,0.972765,1769,1,7.7585
TMA7,1,0.95698,0.997574,20481,0,0.043149,0.972765,1768,1,7.7585
BZW1,3,0.98466,0.999165,21059,0,0.015091,0.972765,271,3,7.7563
RAB39B,3,0.54944,0.996322,10744,1,0.015091,0.972765,270,2,7.7563
LILRA5,3,0.91449,0.996322,19583,0,0.01524,0.972765,275,2,7.7541
PSMB11,2,0.998,0.999632,21337,0,0.0038449,0.956958,99,2,7.753
hsa-mir-1910,3,0.63475,0.996322,13128,1,0.015485,0.972765,280,2,7.7497
hsa-mir-4671,2,0.99772,0.999632,21329,0,0.0043791,0.956958,114,2,7.7478
BSN,1,0.9559,0.997574,20461,0,0.044179,0.972765,1802,1,7.7475
ITGA1,1,0.9559,0.997574,20460,0,0.044179,0.972765,1801,1,7.7475
SEMA4F,3,0.99977,0.999904,21368,0,0.00067197,0.956958,11,3,7.7386
CABP1,1,0.95503,0.997574,20447,0,0.045062,0.972765,1827,1,7.7364
CTLA4,3,0.69477,0.996322,14595,1,0.016196,0.972765,292,2,7.7364
RBM44,3,0.79079,0.996322,16907,1,0.016196,0.972765,293,2,7.7364
SIRPD,2,0.99737,0.999632,21320,0,0.0050262,0.966452,128,2,7.7353
hsa-mir-562,3,0.93383,0.996322,20028,0,0.016337,0.972765,300,2,7.7342
RPL22,3,0.91466,0.996322,19590,0,0.016337,0.972765,299,2,7.7342
GAD2,3,0.87579,0.996322,18697,0,0.016491,0.972765,303,2,7.7319
YWHAH,3,0.99779,0.999632,21330,0,0.0062331,0.970617,111,3,7.7319
FASTKD3,3,0.9488,0.997574,20325,0,0.016754,0.972765,309,2,7.7252
GNL2,3,0.99549,0.999463,21279,0,0.012762,0.970617,232,3,7.7207
MED7,2,0.98634,0.999165,21087,0,0.020038,0.972765,516,2,7.7066
KIAA0586,1,0.953,0.997574,20410,0,0.047176,0.981813,1885,1,7.7048
FCGR3B,3,0.21988,0.988835,4315,1,0.017695,0.972765,325,2,7.7025
TMC6,1,0.95277,0.997574,20403,0,0.047407,0.981813,1899,1,7.7002
TRMT10B,3,0.8732,0.996322,18643,0,0.018635,0.972765,342,2,7.6818
KANK4,3,0.97023,0.998121,20773,0,0.018745,0.972765,346,3,7.6795
RESP18,3,0.65609,0.996322,13652,1,0.018745,0.972765,345,2,7.6795
ZNF813,1,0.95149,0.997574,20371,0,0.04873,0.98809,1934,1,7.6795
NLRP9,3,0.54314,0.996322,10575,1,0.018853,0.972765,349,2,7.6772
SBF1,3,0.94919,0.997574,20334,0,0.019043,0.972765,355,2,7.6725
LGALS9C,2,0.97729,0.998191,20924,0,0.012163,0.970617,317,2,7.6649
PRSS50,3,0.8445,0.996322,18045,0,0.019325,0.972765,362,2,7.6631
UBA3,3,0.61994,0.996322,12743,1,0.01941,0.972765,363,2,7.6608
PPP1R2,3,0.32836,0.996322,6585,1,0.019827,0.972765,371,2,7.649
TET1,3,0.79164,0.996322,16929,1,0.019827,0.972765,370,2,7.649
hsa-mir-588,2,0.99605,0.999471,21299,0,0.0076326,0.970617,189,2,7.6477
OR4C6,3,0.96918,0.998083,20753,0,0.019968,0.972765,372,3,7.6466
TMEM190,3,0.99641,0.999494,21305,0,0.010112,0.970617,174,3,7.6466
hsa-mir-587,4,0.80373,0.996322,16589,1,0.0023527,0.956958,31,3,7.642
CSK,3,0.99109,0.99926,21191,0,0.020064,0.972765,375,3,7.6418
F8A3,1,0.94972,0.997574,20342,0,0.050559,0.988529,1980,1,7.6418
RNF6,3,0.68114,0.996322,14268,1,0.020064,0.972765,376,2,7.6418
BCL6B,3,0.98341,0.998901,21036,0,0.020173,0.972765,379,3,7.6395
CLIP3,2,0.99448,0.999457,21266,0,0.010621,0.970617,273,2,7.6369
hsa-mir-8059,1,0.94928,0.997574,20335,0,0.050976,0.988529,1995,1,7.6347
hsa-mir-1278,2,0.98425,0.999025,21056,0,0.026618,0.972765,702,2,7.6323
SYDE2,1,0.94894,0.997574,20327,0,0.051331,0.988529,2006,1,7.6226
OR4K17,1,0.94867,0.997574,20322,0,0.051599,0.988529,2013,1,7.6154
GML,3,0.98678,0.999165,21101,0,0.020984,0.972765,389,3,7.6105
FTSJ3,1,0.9484,0.997574,20313,0,0.051856,0.988529,2022,1,7.6081
ZNF599,2,0.99117,0.99926,21197,0,0.016755,0.972765,439,2,7.6043
CELSR1,2,0.9972,0.999632,21314,0,0.0053612,0.970617,138,2,7.5935
RIF1,2,0.98609,0.999165,21081,0,0.026287,0.972765,693,2,7.5924
NXN,2,0.98323,0.998901,21032,0,0.031356,0.972765,826,2,7.5911
ORM1,3,0.53747,0.996322,10439,1,0.021623,0.972765,397,2,7.5909
UHRF1BP1,2,0.97485,0.998121,20865,0,0.0069845,0.970617,169,2,7.5864
RUSC2,3,0.99002,0.99926,21167,0,0.021815,0.972765,400,3,7.5835
CBLN2,2,0.99007,0.99926,21171,0,0.018818,0.972765,492,2,7.5771
ZFPM2,2,0.98323,0.998901,21031,0,0.031356,0.972765,825,2,7.5724
ZNF226,3,0.82404,0.996322,17625,0,0.022221,0.972765,408,2,7.566
MCM10,1,0.94677,0.997216,20287,0,0.053456,0.990448,2062,1,7.5635
PRHOXNB,3,0.94458,0.997045,20244,0,0.022365,0.972765,414,2,7.561
RPLP1,3,0.56006,0.996322,11030,1,0.022481,0.972765,416,2,7.5559
PAPOLA,2,0.98634,0.999165,21090,0,0.025869,0.972765,677,2,7.5552
ITIH6,3,0.82698,0.996322,17700,0,0.022589,0.972765,420,2,7.5508
C11orf30,1,0.9463,0.997216,20278,0,0.053897,0.990448,2075,1,7.5483
DCAKD,3,0.88668,0.996322,18960,0,0.022686,0.972765,422,2,7.5458
C7orf55-LUC7L2,1,0.94617,0.997216,20275,0,0.054039,0.990448,2085,1,7.5432
HAS3,1,0.94617,0.997216,20276,0,0.054039,0.990448,2084,1,7.5432
GLOD4,2,0.98968,0.99926,21164,0,0.019538,0.972765,506,2,7.5418
RAB11FIP4,1,0.94592,0.997216,20268,0,0.054261,0.990448,2090,1,7.5381
ANK3,3,0.99016,0.99926,21170,0,0.023145,0.972765,425,3,7.533
EFCAB5,2,0.98499,0.999165,21062,0,0.028322,0.972765,747,2,7.5324
GLB1L2,3,0.9489,0.997574,20329,0,0.023229,0.972765,427,2,7.5304
hsa-mir-20b,3,0.99625,0.999476,21302,0,0.010572,0.970617,184,3,7.5304
MYH4,3,0.55157,0.996322,10799,1,0.023323,0.972765,429,2,7.5278
hsa-mir-6736,2,0.97999,0.998361,20975,0,0.037221,0.972765,957,2,7.5235
KLHL1,3,0.55157,0.996322,10800,1,0.02348,0.972765,432,2,7.52
ANP32B,3,0.98609,0.999165,21079,0,0.023695,0.972765,437,3,7.5122
GPR97,3,0.66486,0.996322,13868,1,0.023695,0.972765,438,2,7.5122
LGALS12,3,0.99419,0.999457,21257,0,0.011999,0.970617,214,3,7.507
PET100,3,0.90217,0.996322,19291,0,0.023958,0.972765,446,2,7.4965
OCSTAMP,2,0.97644,0.998121,20901,0,0.023041,0.972765,603,2,7.4952
FAM171A1,3,0.99754,0.999632,21322,0,0.0068784,0.970617,124,3,7.4833
RND1,1,0.94415,0.997015,20234,0,0.05603,0.994322,2150,1,7.4726
GPR160,2,0.99625,0.999476,21303,0,0.007217,0.970617,179,2,7.4709
C18orf32,2,0.98102,0.998727,20993,0,0.035375,0.972765,911,2,7.4706
LYPD5,3,0.67376,0.996322,14076,1,0.02444,0.972765,452,2,7.4699
LNX1,3,0.99917,0.999829,21355,0,0.0023708,0.956958,40,3,7.4672
GPAM,3,0.30454,0.996322,6163,1,0.024634,0.972765,459,2,7.4645
KLHL12,3,0.98236,0.998901,21016,0,0.024634,0.972765,460,3,7.4645
CATSPER3,2,0.99545,0.999463,21281,0,0.0087838,0.970617,224,2,7.4639
TMBIM1,3,0.83812,0.996322,17926,0,0.024711,0.972765,464,2,7.4618
ACSS1,2,0.99137,0.999276,21203,0,0.016377,0.972765,426,2,7.4574
C12orf65,3,0.92026,0.996322,19724,0,0.025,0.972765,467,2,7.4455
FOXR2,2,0.99574,0.999463,21292,0,0.0082362,0.970617,204,2,7.4453
CA4,2,0.98567,0.999165,21074,0,0.02706,0.972765,714,2,7.445
PVRL4,2,0.99474,0.999463,21270,0,0.010088,0.970617,261,2,7.4373
MIB2,2,0.99117,0.99926,21198,0,0.016755,0.972765,442,2,7.433
IL33,2,0.99502,0.999463,21275,0,0.0095918,0.970617,246,2,7.4317
KBTBD11,2,0.99438,0.999457,21261,0,0.010819,0.970617,278,2,7.4298
MOSPD1,2,0.99631,0.999494,21304,0,0.0070989,0.970617,175,2,7.4196
FRRS1L,1,0.94285,0.996775,20212,0,0.057348,0.994322,2184,1,7.4152
ZNF677,2,0.98567,0.999165,21075,0,0.02706,0.972765,712,2,7.4114
FRS3,2,0.97879,0.998361,20948,0,0.039405,0.972765,1007,2,7.408
NOP10,2,0.99322,0.999457,21234,0,0.01303,0.970617,340,2,7.4076
HLA-E,3,0.8041,0.996322,17204,1,0.025669,0.972765,474,2,7.404
ATXN1L,2,0.99448,0.999457,21267,0,0.010621,0.970617,272,2,7.4028
hsa-mir-3675,4,0.87207,0.996322,18606,1,0.01097,0.970617,150,3,7.3961
BRAF,2,0.9908,0.99926,21186,0,0.017423,0.972765,462,2,7.3931
DGKK,2,0.97574,0.998121,20884,0,0.039603,0.972765,1010,2,7.3914
DCUN1D5,2,0.99556,0.999463,21283,0,0.0085767,0.970617,221,2,7.3832
NT5DC3,2,0.99408,0.999457,21256,0,0.01141,0.970617,295,2,7.3825
VPS25,2,0.99574,0.999463,21294,0,0.0082362,0.970617,206,2,7.3745
S100A9,1,0.94212,0.996752,20196,0,0.058121,0.994322,2212,1,7.367
ITM2A,2,0.98675,0.999165,21104,0,0.025026,0.972765,648,2,7.3617
hsa-mir-1-2,2,0.98675,0.999165,21102,0,0.025026,0.972765,647,2,7.3577
E2F1,2,0.99398,0.999457,21250,0,0.011607,0.970617,306,2,7.3478
ZFYVE16,3,0.21379,0.987402,4151,1,0.026419,0.972765,488,2,7.3437
ISG20,2,0.99175,0.999377,21209,0,0.015688,0.972765,411,2,7.3385
TNFRSF25,3,0.90758,0.996322,19415,0,0.026491,0.972765,490,2,7.3378
EPS8L3,3,0.89892,0.996322,19222,0,0.026541,0.972765,491,2,7.3319
FAM96A,2,0.98249,0.998901,21017,0,0.032663,0.972765,861,2,7.3159
hsa-mir-8065,4,0.91006,0.996322,19473,0,0.019939,0.972765,287,3,7.3148
PEX11A,2,0.98871,0.99926,21142,0,0.021361,0.972765,550,2,7.3124
hsa-mir-1251,4,0.48898,0.996322,8984,1,0.0057698,0.970617,82,3,7.3115
RCSD1,1,0.94135,0.996752,20178,0,0.05888,0.994322,2236,1,7.3051
SLC22A15,3,0.9669,0.997574,20709,0,0.026773,0.972765,494,2,7.2991
PRMT10,2,0.98545,0.999165,21069,0,0.027486,0.972765,727,2,7.2967
UBXN4,2,0.99156,0.999377,21205,0,0.01602,0.972765,423,2,7.2962
ZNF623,2,0.98304,0.998901,21028,0,0.031676,0.972765,832,2,7.2924
ZNF527,2,0.99408,0.999457,21255,0,0.01141,0.970617,296,2,7.2914
GRIN3A,2,0.99117,0.99926,21195,0,0.016755,0.972765,440,2,7.2853
RTEL1,2,0.98634,0.999165,21089,0,0.025869,0.972765,675,2,7.2849
CDON,2,0.99574,0.999463,21293,0,0.0082362,0.970617,205,2,7.2844
GTF3C6,3,0.98921,0.99926,21156,0,0.026972,0.972765,497,3,7.2808
GTPBP10,2,0.97933,0.998361,20960,0,0.03844,0.972765,984,2,7.2785
hsa-mir-556,2,0.98567,0.999165,21073,0,0.02706,0.972765,713,2,7.2752
MCM6,1,0.94104,0.996752,20174,0,0.059176,0.994322,2241,1,7.2747
TPRN,3,0.8521,0.996322,18212,0,0.027019,0.972765,499,2,7.2747
hsa-mir-1248,2,0.99257,0.999457,21223,0,0.014212,0.972765,380,2,7.2641
FAM170A,2,0.97999,0.998361,20974,0,0.037221,0.972765,955,2,7.2557
ADSSL1,2,0.98786,0.99926,21122,0,0.022962,0.972765,599,2,7.2502
TMEM66,2,0.98871,0.99926,21143,0,0.021361,0.972765,549,2,7.2467
TMPRSS5,2,0.97332,0.998121,20826,0,0.025295,0.972765,658,2,7.2416
BTBD16,2,0.99322,0.999457,21235,0,0.01303,0.970617,339,2,7.2355
PHKG1,2,0.98154,0.998829,21001,0,0.034399,0.972765,895,2,7.2339
ADAM30,2,0.97921,0.998361,20957,0,0.038651,0.972765,991,2,7.23
KRT82,2,0.99028,0.99926,21175,0,0.018441,0.972765,481,2,7.2296
TSPAN16,2,0.99408,0.999457,21254,0,0.01141,0.970617,294,2,7.2174
MRC1,1,0.94059,0.996748,20161,0,0.059648,0.994322,2257,1,7.2086
SLC7A6OS,2,0.97738,0.998213,20925,0,0.042069,0.972765,1057,2,7.1967
SPAG7,3,0.99667,0.999632,21307,0,0.0094032,0.970617,162,3,7.1957
hsa-mir-149,3,0.57169,0.996322,11389,1,0.02759,0.972765,505,2,7.1925
WFDC5,2,0.98764,0.99926,21120,0,0.023346,0.972765,609,2,7.191
hsa-mir-6743,2,0.97667,0.998121,20907,0,0.043315,0.972765,1092,2,7.1824
MTFP1,1,0.94016,0.996737,20156,0,0.060095,0.994322,2271,1,7.1794
CD160,2,0.97982,0.998361,20971,0,0.03753,0.972765,962,2,7.177
C7orf65,3,0.99856,0.999829,21342,0,0.0040992,0.956958,77,3,7.1728
DECR1,2,0.98895,0.99926,21150,0,0.020904,0.972765,534,2,7.1712
ZNF565,1,0.93994,0.996692,20147,0,0.060302,0.994322,2278,1,7.1695
hsa-mir-4528,2,0.97933,0.998361,20961,0,0.03844,0.972765,983,2,7.1685
SULT1E1,3,0.36741,0.996322,7301,1,0.027988,0.972765,509,2,7.1662
hsa-mir-1200,4,0.97331,0.998121,20831,0,0.031856,0.972765,471,3,7.1646
PPFIA4,2,0.97702,0.998121,20918,0,0.042685,0.972765,1071,2,7.1604
SAMD12,1,0.93981,0.996692,20141,0,0.060445,0.994322,2284,1,7.1562
MRPL9,1,0.93969,0.996692,20139,0,0.060573,0.994322,2287,1,7.1495
DGKA,3,0.99911,0.999829,21353,0,0.0025186,0.956958,46,3,7.1428
WDR34,2,0.97847,0.998361,20941,0,0.040014,0.972765,1021,2,7.1409
RELL1,3,0.94714,0.997294,20297,0,0.010775,0.970617,186,2,7.1394
